layer,neuron,value
0,16,2.3346179
1,6,0.86960447
2,23,0.661945
2,38,0.7431665
4,0,0.68997985
4,8,0.59898436
4,13,0.8235718
4,34,0.717135
5,3,0.5570429
5,31,0.5721863
5,36,0.59784544
6,19,2.1387892
6,23,1.0727991
6,31,1.1517017
7,9,2.0137599
7,15,0.630246
8,14,1.4551513
8,18,0.6943371
8,30,2.0759375
9,0,1.6539062
9,9,1.8859717
9,13,0.7635634
9,23,0.7203192
9,30,0.6194751
9,32,0.8441687
10,4,1.2186725
10,7,0.5577948
10,10,0.8000423
10,14,1.1185821
10,26,0.930885
10,29,0.95773804
11,0,0.95807374
11,3,0.9230859
11,4,1.334787
11,8,0.91415465
11,11,0.68055344
11,15,1.125171
11,18,1.1644373
11,20,2.1854103
11,24,1.2378174
11,25,1.6271386
11,28,0.9730823
11,29,2.4090772
12,3,0.6027716
12,8,0.8693884
12,9,0.8835681
12,12,0.68076724
12,18,4.3430715
12,19,0.96384704
12,20,1.1694564
12,22,0.69524413
12,35,1.2753125
12,39,1.8241724
13,0,1.49375
13,4,1.6059363
13,12,1.0332462
13,27,2.1093554
13,33,1.1573962
14,0,1.5225854
14,5,2.3043165
14,8,0.7729956
14,13,5.825
14,14,1.4304833
14,23,1.8166308
14,25,1.0963452
14,26,0.8816455
14,28,1.9776251
14,29,1.4103223
15,7,1.352218
15,9,1.1062354
15,17,7.6659374
15,22,0.682973
15,27,0.8546579
15,30,2.9854395
16,1,5.6785545
16,3,2.013484
16,4,1.2080176
16,7,0.7378003
16,10,1.3155811
16,13,1.0009027
16,15,3.4692578
16,32,0.71714664
16,38,1.3475293
17,0,0.7642481
17,6,3.200459
17,15,0.68459105
17,16,1.3023975
17,26,2.1145117
17,27,0.8718593
18,0,1.0746143
18,1,0.7118146
18,18,2.3051562
18,22,1.2892456
18,30,1.02577
18,31,0.72128415
18,39,4.8490624
19,0,0.82855713
19,10,1.5051758
19,30,1.8015577
19,31,0.8362732
20,0,0.6349335
20,9,0.85499024
21,17,0.73243666
21,26,1.8461425
22,22,0.5985712
25,1,1.1009495
28,11,0.8100501
30,36,0.57082397
31,2,0.7183069
38,1,1.096676
38,31,1.0740814
39,6,0.9868082
