model,task,group,n_units,probe_acc,control,excess
Qwen1.5-32B-Chat,verse,LF-only,115,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,ST-only,115,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,LF-only,117,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,ST-only,117,1.0,1.0,0.0
Qwen1.5-32B-Chat,bias,LF-only,116,0.9916666666666668,0.9916666666666667,1.1102230246251565e-16
Qwen1.5-32B-Chat,bias,ST-only,116,0.9916666666666668,0.9916666666666667,1.1102230246251565e-16
Qwen1.5-32B-Chat,factual recall,LF-only,112,0.9416666666666668,0.9333333333333332,0.008333333333333526
Qwen1.5-32B-Chat,factual recall,ST-only,112,0.9416666666666668,0.9361111111111112,0.005555555555555536
Qwen1.5-32B-Chat,persona,LF-only,108,0.9916666666666668,0.9916666666666668,0.0
Qwen1.5-32B-Chat,persona,ST-only,108,0.9916666666666668,0.9916666666666668,0.0
