model,task,margin,topk,arm,n_units,baseline,d_ablate,d_control,control_sd,excess
gemma-3-12b-it,verse,long,0.05,long,38,3.0913709749778113,-1.7287371655305228,-0.8407888002693655,0.18872240806619334,-0.8879483652611573
gemma-3-12b-it,verse,long,0.05,single,38,3.0913709749778113,-0.04188041264812181,-0.2057551623632512,0.020308394605914604,0.1638747497151294
gemma-3-12b-it,verse,long,0.1,long,76,3.0913709749778113,-2.0391662990053496,-1.618341598659754,0.02364296093583107,-0.4208247003455956
gemma-3-12b-it,verse,long,0.1,single,76,3.0913709749778113,-0.43378590544064854,-1.0583123788237574,0.05959531416495634,0.6245264733831088
gemma-3-12b-it,verse,long,0.2,long,153,3.0913709749778113,-3.1696076691150665,-2.298546758790811,0.31374967843294144,-0.8710609103242555
gemma-3-12b-it,verse,long,0.2,single,153,3.0913709749778113,-1.0738113795717559,-1.8190368674695494,0.1867812635997932,0.7452254878977935
gemma-3-12b-it,verse,long,0.3,long,230,3.0913709749778113,-3.873822738726934,-3.5408126662174864,0.04277336597442627,-0.3330100725094476
gemma-3-12b-it,verse,long,0.3,single,230,3.0913709749778113,-1.2929263214270275,-2.446313535173734,0.18084280689557408,1.1533872137467067
gemma-3-12b-it,verse,long,0.5,long,384,3.0913709749778113,-4.821304723620415,-4.255872458219528,0.523948535323143,-0.5654322654008865
gemma-3-12b-it,verse,long,0.5,single,384,3.0913709749778113,-3.4279088228940964,-3.835625884433588,0.21519955247640632,0.4077170615394916
gemma-3-12b-it,summarization,long,0.05,long,38,2.562297139937679,-0.8716320662448802,-0.37850794071952487,0.116568841661016,-0.49312412552535534
gemma-3-12b-it,summarization,long,0.05,single,38,2.562297139937679,-0.24071301830311587,-0.2023010943084953,0.044133779903252846,-0.03841192399462057
gemma-3-12b-it,summarization,long,0.1,long,76,2.562297139937679,-1.0320974110315242,-0.6174161167194444,0.3888966627418996,-0.4146812943120798
gemma-3-12b-it,summarization,long,0.1,single,76,2.562297139937679,-0.7393815759569404,-0.5843217472235359,0.04193107349177205,-0.15505982873340451
gemma-3-12b-it,summarization,long,0.2,long,153,2.562297139937679,-1.2889906559139488,-0.8849972803145646,0.02323368440071738,-0.4039933755993842
