model,task,arm,N,pr_frac,entropy,gini,top1_share,cap0.01,cap0.02,cap0.03,cap0.05,cap0.07,cap0.1,cap0.15,cap0.2,cap0.3,cap0.5
gemma-3-12b-it,bias,long,768,0.18568667739422348,0.821458866867334,0.7630165747671795,0.03690290038810056,0.14553526034862613,0.22370505057078893,0.29549213330674595,0.40235517583309444,0.49052941234308056,0.590179172553548,0.7038310865200187,0.7860281998637617,0.8928646050627927,0.9886084631878025
gemma-3-12b-it,bias,single,768,0.20402061067257196,0.8166620511354187,0.7739672626639256,0.023913053957239375,0.12914154190684282,0.2044713803583224,0.276951015413942,0.3886289778592022,0.4831491588483005,0.5878832460875789,0.7090708956493332,0.7976386939201706,0.9131190774190238,0.9999038114748846
gemma-3-12b-it,factual recall,long,768,0.21813587839376883,0.8231334840389757,0.7650433805622756,0.017990969606792757,0.1256154000913282,0.1995958098711099,0.26451366905798945,0.3687461437545116,0.4569401740843769,0.561900643885114,0.6931064155674496,0.7906556111628198,0.9096746681799258,0.9988200963502781
gemma-3-12b-it,factual recall,single,768,0.23174454634721195,0.8288798635302099,0.7557097852000572,0.016401764626355324,0.11284836596868994,0.18775110928724117,0.2546890568043126,0.3566875593615139,0.4460405452608779,0.550895232193431,0.6813518292267249,0.7741454263096818,0.8981400449097368,0.9989268144678445
gemma-3-12b-it,persona,long,768,0.1837521517897243,0.8245528366913611,0.7548712958903327,0.037408738491117643,0.1556405778470378,0.22886296120288657,0.2979743641993407,0.39510477392205917,0.474821692322772,0.5669202176830609,0.6853435876974938,0.7717794087674752,0.885900449467513,0.9884553566664066
gemma-3-12b-it,persona,single,768,0.22422513476643013,0.824559637026379,0.7625163014363188,0.019250609037077794,0.11634946621749101,0.19658490306198506,0.26225010290208906,0.36198823270977015,0.4508373844606803,0.5531787006703397,0.6853685320154662,0.7825273188313328,0.911075281247858,0.9995041974038884
gemma-3-12b-it,summarization,long,768,0.11151655955074737,0.7633926373510023,0.8319073221308075,0.047706379998372905,0.2239622910766643,0.335264834547166,0.4236297206535643,0.5311822414406538,0.6122189850554741,0.6998346659035506,0.7990019432260261,0.8663488985356514,0.9470142590219974,0.9999999999999998
gemma-3-12b-it,summarization,single,768,0.21468809192352858,0.8187590158581282,0.7713838552469077,0.021313050692668867,0.125879480844319,0.1970562552642367,0.2637142180869638,0.3647879540726853,0.4554622520379094,0.5673343881967253,0.7031171808115844,0.7995460681894586,0.9189439807773497,1.0000000000000002
gemma-3-12b-it,verse,long,768,0.19935577778345026,0.8230592534144965,0.7614200380060328,0.032513678074060595,0.13785044047277206,0.21040843459745803,0.2772196804420043,0.3756083593250357,0.4592409667558555,0.5570087708445552,0.6845265529211555,0.7839856520343474,0.9043506993101545,0.9964668526789966
gemma-3-12b-it,verse,single,768,0.20040921847629123,0.8090031960027748,0.7857846759945153,0.024448131466384748,0.12730927335965944,0.20043490183029003,0.2686864519051677,0.37893848013550596,0.476866887086824,0.5907934443936936,0.7250027405835624,0.8194258457033856,0.9373863245329618,1.0000000000000002
