model,task,group,n_units,eta2_concept,eta2_format,ctl_concept,ctl_format,exc_concept,exc_format
Qwen1.5-32B-Chat,verse,LF-only,115,0.039246679189876586,0.6329250577036435,0.03870583637966597,0.6290221073617198,0.0005408428102106136,0.003902950341923672
Qwen1.5-32B-Chat,verse,ST-only,115,0.035534733141275573,0.6337121557626636,0.03654912343916431,0.627458630634079,-0.0010143902978887384,0.0062535251285845694
Qwen1.5-32B-Chat,summarization,LF-only,117,0.023630276276095305,0.623547080195726,0.022839612989570216,0.616656956328284,0.0007906632865250889,0.006890123867442033
Qwen1.5-32B-Chat,summarization,ST-only,117,0.019254261920789065,0.6183581524153045,0.01850837969059761,0.6091357821953635,0.000745882230191456,0.00922237021994099
Qwen1.5-32B-Chat,bias,LF-only,116,0.02580473937410024,0.7545076861051655,0.025729624996429362,0.75121859362201,7.511437767087834e-05,0.0032890924831554536
Qwen1.5-32B-Chat,bias,ST-only,116,0.028637729096965804,0.7530398322275188,0.028825003903182503,0.7530891760126077,-0.00018727480621669873,-4.934378508891779e-05
Qwen1.5-32B-Chat,factual recall,LF-only,112,0.0543873929944384,0.47870206689396977,0.05350968897844326,0.47559929891244623,0.0008777040159951427,0.0031027679815235354
Qwen1.5-32B-Chat,factual recall,ST-only,112,0.04907092838284492,0.4943285817170762,0.04842197327390828,0.49610986839454774,0.0006489551089366441,-0.0017812866774715164
Qwen1.5-32B-Chat,persona,LF-only,108,0.08230276549555562,0.6980679560440651,0.08186906567869436,0.6982374722038109,0.0004336998168612688,-0.00016951615974580836
Qwen1.5-32B-Chat,persona,ST-only,108,0.07174736303769438,0.7116815996771804,0.07407162870935735,0.7110661693165874,-0.0023242656716629673,0.0006154303605929723
