model,task,group,n_units,probe_acc,control,excess
Falcon3-10B-Instruct,verse,LF-only,23,1.0,1.0,0.0
Falcon3-10B-Instruct,verse,ST-only,23,1.0,1.0,0.0
Falcon3-10B-Instruct,summarization,LF-only,22,1.0,1.0,0.0
Falcon3-10B-Instruct,summarization,ST-only,22,1.0,1.0,0.0
