model,task,group,n_units,eta2_concept,eta2_format,ctl_concept,ctl_format,exc_concept,exc_format
Qwen1.5-14B-Chat,verse,LF-only,75,0.031134550618362684,0.6372253343810119,0.02960568330121949,0.6368990817352151,0.0015288673171431934,0.00032625264579677626
Qwen1.5-14B-Chat,verse,ST-only,75,0.03305273171222865,0.6418121279511655,0.033334560622593594,0.6358133206051455,-0.000281828910364941,0.005998807346019985
Qwen1.5-14B-Chat,summarization,LF-only,69,0.02157318754897366,0.6484207744400018,0.021281144885204002,0.6425594466348056,0.0002920426637696566,0.005861327805196215
Qwen1.5-14B-Chat,summarization,ST-only,69,0.015245581802710708,0.6307140887123617,0.015077451069524133,0.6239132137102422,0.00016813073318657466,0.006800875002119455
Qwen1.5-14B-Chat,bias,LF-only,68,0.026566174041246844,0.8228045450361373,0.026138050614396474,0.8244372841065072,0.00042812342685037,-0.0016327390703698708
Qwen1.5-14B-Chat,bias,ST-only,68,0.02717740913642298,0.8016291275241052,0.02711227665748459,0.799406081743853,6.513247893839141e-05,0.0022230457802522308
Qwen1.5-14B-Chat,factual recall,LF-only,73,0.047748552269933985,0.5262288707463695,0.047672157527491946,0.5235496336050701,7.639474244203887e-05,0.002679237141299362
Qwen1.5-14B-Chat,factual recall,ST-only,73,0.047043541372068676,0.5076357065923861,0.04463859663819218,0.5157019558675303,0.0024049447338764934,-0.00806624927514421
Qwen1.5-14B-Chat,persona,LF-only,68,0.083807623753297,0.7176712492480379,0.0803389354416896,0.7229166105796726,0.003468688311607404,-0.005245361331634668
Qwen1.5-14B-Chat,persona,ST-only,68,0.07210166380865299,0.7231637279427411,0.07392619780903827,0.7212666839011332,-0.0018245340003852778,0.0018970440416078427
