model,task,k,rank,n,r_over_n,d_L,d_S,n_collected,reps,rho1,rho_top5,floor,excess
OLMo-2-1124-13B-DPO,verse,0.05,64,256,0.25,10240,10240,768,3,0.999644,0.999081,0.828026,0.171055
OLMo-2-1124-13B-DPO,verse,0.05,96,256,0.375,10240,10240,768,3,0.999889,0.999742,0.955155,0.044586
OLMo-2-1124-13B-DPO,verse,0.05,128,256,0.5,10240,10240,768,3,1.0,0.999999,0.99974,0.000259
OLMo-2-1124-13B-DPO,verse,0.05,2,384,0.0052,10240,10240,768,3,0.871218,0.598254,0.063025,0.53523
OLMo-2-1124-13B-DPO,verse,0.05,4,384,0.0104,10240,10240,768,3,0.984978,0.67989,0.094011,0.585879
OLMo-2-1124-13B-DPO,verse,0.05,8,384,0.0208,10240,10240,768,3,0.995863,0.977003,0.17906,0.797943
OLMo-2-1124-13B-DPO,verse,0.05,16,384,0.0417,10240,10240,768,3,0.998392,0.994587,0.311631,0.682956
OLMo-2-1124-13B-DPO,verse,0.05,24,384,0.0625,10240,10240,768,3,0.998769,0.996101,0.404611,0.59149
OLMo-2-1124-13B-DPO,verse,0.05,32,384,0.0833,10240,10240,768,3,0.999106,0.997019,0.477989,0.51903
OLMo-2-1124-13B-DPO,verse,0.05,48,384,0.125,10240,10240,768,3,0.999357,0.998121,0.599539,0.398583
OLMo-2-1124-13B-DPO,verse,0.05,64,384,0.1667,10240,10240,768,3,0.999541,0.998747,0.698706,0.300041
OLMo-2-1124-13B-DPO,verse,0.05,96,384,0.25,10240,10240,768,3,0.99979,0.999392,0.840773,0.158618
OLMo-2-1124-13B-DPO,verse,0.05,128,384,0.3333,10240,10240,768,3,0.999906,0.999713,0.929783,0.06993
OLMo-2-1124-13B-DPO,verse,0.05,2,512,0.0039,10240,10240,768,3,0.756439,0.455106,0.050262,0.404843
OLMo-2-1124-13B-DPO,verse,0.05,4,512,0.0078,10240,10240,768,3,0.981622,0.657991,0.071489,0.586502
OLMo-2-1124-13B-DPO,verse,0.05,8,512,0.0156,10240,10240,768,3,0.996007,0.975039,0.1471,0.827938
OLMo-2-1124-13B-DPO,verse,0.05,16,512,0.0312,10240,10240,768,3,0.99815,0.994177,0.263642,0.730536
OLMo-2-1124-13B-DPO,verse,0.05,24,512,0.0469,10240,10240,768,3,0.998627,0.995829,0.349934,0.645895
OLMo-2-1124-13B-DPO,verse,0.05,32,512,0.0625,10240,10240,768,3,0.998943,0.996841,0.417925,0.578916
OLMo-2-1124-13B-DPO,verse,0.05,48,512,0.0938,10240,10240,768,3,0.999231,0.997923,0.529376,0.468547
OLMo-2-1124-13B-DPO,verse,0.05,64,512,0.125,10240,10240,768,3,0.999444,0.998446,0.613122,0.385325
OLMo-2-1124-13B-DPO,verse,0.05,96,512,0.1875,10240,10240,768,3,0.999687,0.999132,0.748073,0.251059
OLMo-2-1124-13B-DPO,verse,0.05,128,512,0.25,10240,10240,768,3,0.99982,0.99948,0.844362,0.155117
OLMo-2-1124-13B-DPO,verse,0.05,2,640,0.0031,10240,10240,768,3,0.835764,0.451584,0.038815,0.412769
OLMo-2-1124-13B-DPO,verse,0.05,4,640,0.0063,10240,10240,768,3,0.984922,0.685604,0.06353,0.622074
OLMo-2-1124-13B-DPO,verse,0.05,8,640,0.0125,10240,10240,768,3,0.996265,0.977337,0.129433,0.847904
OLMo-2-1124-13B-DPO,verse,0.05,16,640,0.025,10240,10240,768,3,0.99834,0.994113,0.232798,0.761315
OLMo-2-1124-13B-DPO,verse,0.05,24,640,0.0375,10240,10240,768,3,0.998734,0.995686,0.307861,0.687825
OLMo-2-1124-13B-DPO,verse,0.05,32,640,0.05,10240,10240,768,3,0.998898,0.996587,0.373261,0.623325
OLMo-2-1124-13B-DPO,verse,0.05,48,640,0.075,10240,10240,768,3,0.999198,0.997781,0.467655,0.530125
OLMo-2-1124-13B-DPO,verse,0.05,64,640,0.1,10240,10240,768,3,0.999365,0.998371,0.552747,0.445623
OLMo-2-1124-13B-DPO,verse,0.05,96,640,0.15,10240,10240,768,3,0.999645,0.999004,0.677137,0.321867
OLMo-2-1124-13B-DPO,verse,0.05,128,640,0.2,10240,10240,768,3,0.999778,0.999351,0.77331,0.226042
OLMo-2-1124-13B-DPO,summarization,0.05,2,64,0.0312,10240,10240,768,3,0.906768,0.701179,0.139122,0.562057
OLMo-2-1124-13B-DPO,summarization,0.05,4,64,0.0625,10240,10240,768,3,0.97495,0.78061,0.208372,0.572239
OLMo-2-1124-13B-DPO,summarization,0.05,8,64,0.125,10240,10240,768,3,0.9895,0.947869,0.404894,0.542975
OLMo-2-1124-13B-DPO,summarization,0.05,16,64,0.25,10240,10240,768,3,0.99743,0.991754,0.730626,0.261128
OLMo-2-1124-13B-DPO,summarization,0.05,24,64,0.375,10240,10240,768,3,0.999335,0.998177,0.918992,0.079185
OLMo-2-1124-13B-DPO,summarization,0.05,32,64,0.5,10240,10240,768,3,1.0,0.999945,0.995042,0.004903
OLMo-2-1124-13B-DPO,summarization,0.05,48,64,0.75,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,summarization,0.05,64,64,1.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,summarization,0.05,96,64,1.5,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,summarization,0.05,128,64,2.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,summarization,0.05,2,128,0.0156,10240,10240,768,3,0.980035,0.756126,0.081114,0.675012
OLMo-2-1124-13B-DPO,summarization,0.05,4,128,0.0312,10240,10240,768,3,0.988823,0.809051,0.12501,0.684041
OLMo-2-1124-13B-DPO,summarization,0.05,8,128,0.0625,10240,10240,768,3,0.992256,0.939873,0.283929,0.655944
OLMo-2-1124-13B-DPO,summarization,0.05,16,128,0.125,10240,10240,768,3,0.996349,0.98635,0.523676,0.462674
OLMo-2-1124-13B-DPO,summarization,0.05,24,128,0.1875,10240,10240,768,3,0.99782,0.992983,0.679013,0.31397
OLMo-2-1124-13B-DPO,summarization,0.05,32,128,0.25,10240,10240,768,3,0.998563,0.996252,0.799158,0.197095
OLMo-2-1124-13B-DPO,summarization,0.05,48,128,0.375,10240,10240,768,3,0.999781,0.99917,0.944413,0.054757
OLMo-2-1124-13B-DPO,summarization,0.05,64,128,0.5,10240,10240,768,3,1.0,0.999992,0.999035,0.000957
OLMo-2-1124-13B-DPO,summarization,0.05,96,128,0.75,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,summarization,0.05,128,128,1.0,10240,10240,768,3,1.0,1.0,1.0,0.0
