model,task,k,rank,n,r_over_n,d_L,d_S,n_collected,reps,rho1,rho_top5,floor,excess
OLMo-2-1124-13B-DPO,persona,0.05,2,512,0.0039,10240,10240,768,3,0.982558,0.644279,0.058129,0.58615
OLMo-2-1124-13B-DPO,persona,0.05,4,512,0.0078,10240,10240,768,3,0.987351,0.908078,0.074787,0.833291
OLMo-2-1124-13B-DPO,persona,0.05,8,512,0.0156,10240,10240,768,3,0.99721,0.984998,0.146347,0.838651
OLMo-2-1124-13B-DPO,persona,0.05,16,512,0.0312,10240,10240,768,3,0.998313,0.996252,0.263077,0.733176
OLMo-2-1124-13B-DPO,persona,0.05,24,512,0.0469,10240,10240,768,3,0.998899,0.997525,0.352638,0.644887
OLMo-2-1124-13B-DPO,persona,0.05,32,512,0.0625,10240,10240,768,3,0.999169,0.99812,0.4199,0.578221
OLMo-2-1124-13B-DPO,persona,0.05,48,512,0.0938,10240,10240,768,3,0.999554,0.998773,0.527555,0.471217
OLMo-2-1124-13B-DPO,persona,0.05,64,512,0.125,10240,10240,768,3,0.999685,0.999107,0.611773,0.387334
OLMo-2-1124-13B-DPO,persona,0.05,96,512,0.1875,10240,10240,768,3,0.999821,0.99952,0.74885,0.25067
OLMo-2-1124-13B-DPO,persona,0.05,128,512,0.25,10240,10240,768,3,0.999905,0.99973,0.845464,0.154266
OLMo-2-1124-13B-DPO,persona,0.05,2,640,0.0031,10240,10240,768,3,0.98229,0.589013,0.043828,0.545185
OLMo-2-1124-13B-DPO,persona,0.05,4,640,0.0063,10240,10240,768,3,0.98717,0.899949,0.063382,0.836567
OLMo-2-1124-13B-DPO,persona,0.05,8,640,0.0125,10240,10240,768,3,0.997426,0.983112,0.129027,0.854085
OLMo-2-1124-13B-DPO,persona,0.05,16,640,0.025,10240,10240,768,3,0.998401,0.996284,0.232813,0.76347
OLMo-2-1124-13B-DPO,persona,0.05,24,640,0.0375,10240,10240,768,3,0.99893,0.997645,0.307435,0.690211
OLMo-2-1124-13B-DPO,persona,0.05,32,640,0.05,10240,10240,768,3,0.999171,0.998119,0.366626,0.631493
OLMo-2-1124-13B-DPO,persona,0.05,48,640,0.075,10240,10240,768,3,0.999523,0.998786,0.470756,0.52803
OLMo-2-1124-13B-DPO,persona,0.05,64,640,0.1,10240,10240,768,3,0.999677,0.999118,0.55291,0.446209
OLMo-2-1124-13B-DPO,persona,0.05,96,640,0.15,10240,10240,768,3,0.999816,0.999457,0.678906,0.320551
OLMo-2-1124-13B-DPO,persona,0.05,128,640,0.2,10240,10240,768,3,0.99989,0.999668,0.773791,0.225877
OLMo-2-1124-13B-DPO,bias,0.05,2,64,0.0312,10240,10240,768,3,0.954571,0.725033,0.148765,0.576267
OLMo-2-1124-13B-DPO,bias,0.05,4,64,0.0625,10240,10240,768,3,0.989545,0.716607,0.199046,0.517561
OLMo-2-1124-13B-DPO,bias,0.05,8,64,0.125,10240,10240,768,3,0.995644,0.928792,0.416155,0.512637
OLMo-2-1124-13B-DPO,bias,0.05,16,64,0.25,10240,10240,768,3,0.997942,0.989874,0.729908,0.259966
OLMo-2-1124-13B-DPO,bias,0.05,24,64,0.375,10240,10240,768,3,0.999396,0.998101,0.916105,0.081996
OLMo-2-1124-13B-DPO,bias,0.05,32,64,0.5,10240,10240,768,3,1.0,0.99997,0.995906,0.004064
OLMo-2-1124-13B-DPO,bias,0.05,48,64,0.75,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,bias,0.05,64,64,1.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,bias,0.05,96,64,1.5,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,bias,0.05,128,64,2.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,bias,0.05,2,128,0.0156,10240,10240,768,3,0.96811,0.822649,0.107555,0.715094
OLMo-2-1124-13B-DPO,bias,0.05,4,128,0.0312,10240,10240,768,3,0.987621,0.737419,0.149018,0.588401
OLMo-2-1124-13B-DPO,bias,0.05,8,128,0.0625,10240,10240,768,3,0.994561,0.937529,0.293571,0.643958
OLMo-2-1124-13B-DPO,bias,0.05,16,128,0.125,10240,10240,768,3,0.996804,0.988707,0.52123,0.467477
OLMo-2-1124-13B-DPO,bias,0.05,24,128,0.1875,10240,10240,768,3,0.998229,0.993407,0.677283,0.316124
OLMo-2-1124-13B-DPO,bias,0.05,32,128,0.25,10240,10240,768,3,0.998856,0.996354,0.789881,0.206473
OLMo-2-1124-13B-DPO,bias,0.05,48,128,0.375,10240,10240,768,3,0.999688,0.999194,0.942059,0.057135
OLMo-2-1124-13B-DPO,bias,0.05,64,128,0.5,10240,10240,768,3,1.0,0.999994,0.999163,0.000831
OLMo-2-1124-13B-DPO,bias,0.05,96,128,0.75,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,bias,0.05,128,128,1.0,10240,10240,768,3,1.0,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,bias,0.05,2,256,0.0078,10240,10240,768,3,0.958405,0.834871,0.062732,0.77214
OLMo-2-1124-13B-DPO,bias,0.05,4,256,0.0156,10240,10240,768,3,0.988082,0.735349,0.104864,0.630485
OLMo-2-1124-13B-DPO,bias,0.05,8,256,0.0312,10240,10240,768,3,0.993965,0.92146,0.20143,0.72003
OLMo-2-1124-13B-DPO,bias,0.05,16,256,0.0625,10240,10240,768,3,0.996449,0.985709,0.37054,0.61517
OLMo-2-1124-13B-DPO,bias,0.05,24,256,0.0938,10240,10240,768,3,0.99751,0.990589,0.488258,0.502331
OLMo-2-1124-13B-DPO,bias,0.05,32,256,0.125,10240,10240,768,3,0.998071,0.992932,0.576444,0.416488
OLMo-2-1124-13B-DPO,bias,0.05,48,256,0.1875,10240,10240,768,3,0.998751,0.995985,0.718256,0.277729
OLMo-2-1124-13B-DPO,bias,0.05,64,256,0.25,10240,10240,768,3,0.999175,0.997753,0.82914,0.168613
OLMo-2-1124-13B-DPO,bias,0.05,96,256,0.375,10240,10240,768,3,0.999796,0.999465,0.957222,0.042243
OLMo-2-1124-13B-DPO,bias,0.05,128,256,0.5,10240,10240,768,3,1.0,0.999999,0.99981,0.000189
OLMo-2-1124-13B-DPO,bias,0.05,2,384,0.0052,10240,10240,768,3,0.976258,0.878186,0.065631,0.812555
OLMo-2-1124-13B-DPO,bias,0.05,4,384,0.0104,10240,10240,768,3,0.987961,0.765694,0.081501,0.684193
OLMo-2-1124-13B-DPO,bias,0.05,8,384,0.0208,10240,10240,768,3,0.994596,0.925532,0.166942,0.75859
OLMo-2-1124-13B-DPO,bias,0.05,16,384,0.0417,10240,10240,768,3,0.997127,0.987105,0.312427,0.674678
OLMo-2-1124-13B-DPO,bias,0.05,24,384,0.0625,10240,10240,768,3,0.99758,0.991037,0.402528,0.588508
OLMo-2-1124-13B-DPO,bias,0.05,32,384,0.0833,10240,10240,768,3,0.997998,0.993041,0.480184,0.512857
OLMo-2-1124-13B-DPO,bias,0.05,48,384,0.125,10240,10240,768,3,0.998562,0.995267,0.604015,0.391253
OLMo-2-1124-13B-DPO,bias,0.05,64,384,0.1667,10240,10240,768,3,0.998988,0.996744,0.700376,0.296368
OLMo-2-1124-13B-DPO,bias,0.05,96,384,0.25,10240,10240,768,3,0.99947,0.998397,0.843488,0.154909
OLMo-2-1124-13B-DPO,bias,0.05,128,384,0.3333,10240,10240,768,3,0.999786,0.999325,0.934759,0.064566
OLMo-2-1124-13B-DPO,bias,0.05,2,512,0.0039,10240,10240,768,3,0.954109,0.79194,0.038033,0.753907
OLMo-2-1124-13B-DPO,bias,0.05,4,512,0.0078,10240,10240,768,3,0.984432,0.753883,0.071506,0.682377
OLMo-2-1124-13B-DPO,bias,0.05,8,512,0.0156,10240,10240,768,3,0.993443,0.916836,0.14668,0.770156
OLMo-2-1124-13B-DPO,bias,0.05,16,512,0.0312,10240,10240,768,3,0.996751,0.985448,0.266602,0.718847
OLMo-2-1124-13B-DPO,bias,0.05,24,512,0.0469,10240,10240,768,3,0.99727,0.989675,0.348576,0.641099
OLMo-2-1124-13B-DPO,bias,0.05,32,512,0.0625,10240,10240,768,3,0.997771,0.991922,0.420776,0.571146
OLMo-2-1124-13B-DPO,bias,0.05,48,512,0.0938,10240,10240,768,3,0.99838,0.994318,0.5261,0.468219
OLMo-2-1124-13B-DPO,bias,0.05,64,512,0.125,10240,10240,768,3,0.998733,0.995985,0.613434,0.382552
OLMo-2-1124-13B-DPO,bias,0.05,96,512,0.1875,10240,10240,768,3,0.999177,0.997694,0.747344,0.25035
OLMo-2-1124-13B-DPO,bias,0.05,128,512,0.25,10240,10240,768,3,0.999527,0.998594,0.845219,0.153376
OLMo-2-1124-13B-DPO,bias,0.05,2,640,0.0031,10240,10240,768,3,0.966706,0.827759,0.038555,0.789204
OLMo-2-1124-13B-DPO,bias,0.05,4,640,0.0063,10240,10240,768,3,0.985242,0.763032,0.061012,0.702019
OLMo-2-1124-13B-DPO,bias,0.05,8,640,0.0125,10240,10240,768,3,0.99417,0.92468,0.128322,0.796358
OLMo-2-1124-13B-DPO,bias,0.05,16,640,0.025,10240,10240,768,3,0.996939,0.986584,0.236749,0.749835
OLMo-2-1124-13B-DPO,bias,0.05,24,640,0.0375,10240,10240,768,3,0.997349,0.989817,0.314527,0.67529
OLMo-2-1124-13B-DPO,bias,0.05,32,640,0.05,10240,10240,768,3,0.997835,0.991945,0.378808,0.613137
OLMo-2-1124-13B-DPO,bias,0.05,48,640,0.075,10240,10240,768,3,0.998431,0.994182,0.479664,0.514518
OLMo-2-1124-13B-DPO,bias,0.05,64,640,0.1,10240,10240,768,3,0.998733,0.995647,0.557284,0.438363
OLMo-2-1124-13B-DPO,bias,0.05,96,640,0.15,10240,10240,768,3,0.999183,0.997428,0.681054,0.316374
OLMo-2-1124-13B-DPO,bias,0.05,128,640,0.2,10240,10240,768,3,0.999465,0.998256,0.776717,0.221539
Qwen1.5-32B-Chat,verse,0.05,2,64,0.0312,16384,16384,768,3,0.979982,0.962532,0.139206,0.823326
Qwen1.5-32B-Chat,verse,0.05,4,64,0.0625,16384,16384,768,3,0.994943,0.947413,0.217108,0.730305
Qwen1.5-32B-Chat,verse,0.05,8,64,0.125,16384,16384,768,3,0.997227,0.985713,0.415174,0.57054
Qwen1.5-32B-Chat,verse,0.05,16,64,0.25,16384,16384,768,3,0.998749,0.996685,0.731549,0.265135
Qwen1.5-32B-Chat,verse,0.05,24,64,0.375,16384,16384,768,3,0.99963,0.999066,0.914137,0.084929
Qwen1.5-32B-Chat,verse,0.05,32,64,0.5,16384,16384,768,3,1.0,0.99994,0.994369,0.005571
Qwen1.5-32B-Chat,verse,0.05,48,64,0.75,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,0.05,64,64,1.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,0.05,96,64,1.5,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,0.05,128,64,2.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,0.05,2,128,0.0156,16384,16384,768,3,0.991654,0.974638,0.090756,0.883883
Qwen1.5-32B-Chat,verse,0.05,4,128,0.0312,16384,16384,768,3,0.996439,0.958678,0.143495,0.815183
Qwen1.5-32B-Chat,verse,0.05,8,128,0.0625,16384,16384,768,3,0.997497,0.982342,0.285947,0.696395
Qwen1.5-32B-Chat,verse,0.05,16,128,0.125,16384,16384,768,3,0.998288,0.994201,0.520545,0.473656
Qwen1.5-32B-Chat,verse,0.05,24,128,0.1875,16384,16384,768,3,0.998746,0.996355,0.684722,0.311633
Qwen1.5-32B-Chat,verse,0.05,32,128,0.25,16384,16384,768,3,0.999233,0.997783,0.795534,0.20225
Qwen1.5-32B-Chat,verse,0.05,48,128,0.375,16384,16384,768,3,0.99975,0.999362,0.939732,0.059631
Qwen1.5-32B-Chat,verse,0.05,64,128,0.5,16384,16384,768,3,1.0,0.999988,0.998477,0.001511
Qwen1.5-32B-Chat,verse,0.05,96,128,0.75,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,0.05,128,128,1.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,verse,0.05,2,256,0.0078,16384,16384,768,3,0.989525,0.970343,0.068764,0.901579
Qwen1.5-32B-Chat,verse,0.05,4,256,0.0156,16384,16384,768,3,0.996482,0.952351,0.100621,0.851731
Qwen1.5-32B-Chat,verse,0.05,8,256,0.0312,16384,16384,768,3,0.997161,0.983558,0.203079,0.780479
Qwen1.5-32B-Chat,verse,0.05,16,256,0.0625,16384,16384,768,3,0.997969,0.992864,0.372435,0.620429
Qwen1.5-32B-Chat,verse,0.05,24,256,0.0938,16384,16384,768,3,0.998432,0.995184,0.487027,0.508158
Qwen1.5-32B-Chat,verse,0.05,32,256,0.125,16384,16384,768,3,0.998718,0.996491,0.57618,0.420312
Qwen1.5-32B-Chat,verse,0.05,48,256,0.1875,16384,16384,768,3,0.99918,0.997893,0.721075,0.276818
Qwen1.5-32B-Chat,verse,0.05,64,256,0.25,16384,16384,768,3,0.99946,0.998694,0.828628,0.170066
Qwen1.5-32B-Chat,verse,0.05,96,256,0.375,16384,16384,768,3,0.999785,0.999586,0.95279,0.046796
Qwen1.5-32B-Chat,verse,0.05,128,256,0.5,16384,16384,768,3,1.0,0.999999,0.99968,0.000319
Qwen1.5-32B-Chat,verse,0.05,2,384,0.0052,16384,16384,768,3,0.992825,0.969267,0.061061,0.908206
Qwen1.5-32B-Chat,verse,0.05,4,384,0.0104,16384,16384,768,3,0.997117,0.961282,0.087784,0.873498
Qwen1.5-32B-Chat,verse,0.05,8,384,0.0208,16384,16384,768,3,0.997429,0.98454,0.176307,0.808233
Qwen1.5-32B-Chat,verse,0.05,16,384,0.0417,16384,16384,768,3,0.998107,0.992776,0.305162,0.687614
Qwen1.5-32B-Chat,verse,0.05,24,384,0.0625,16384,16384,768,3,0.998389,0.994705,0.400006,0.5947
Qwen1.5-32B-Chat,verse,0.05,32,384,0.0833,16384,16384,768,3,0.998684,0.995935,0.479238,0.516697
Qwen1.5-32B-Chat,verse,0.05,48,384,0.125,16384,16384,768,3,0.999049,0.997348,0.606194,0.391154
Qwen1.5-32B-Chat,verse,0.05,64,384,0.1667,16384,16384,768,3,0.999317,0.998104,0.700986,0.297117
Qwen1.5-32B-Chat,verse,0.05,96,384,0.25,16384,16384,768,3,0.999614,0.999026,0.841526,0.1575
Qwen1.5-32B-Chat,verse,0.05,128,384,0.3333,16384,16384,768,3,0.999816,0.999502,0.930777,0.068725
Qwen1.5-32B-Chat,verse,0.05,2,512,0.0039,16384,16384,768,3,0.990616,0.979305,0.05409,0.925215
Qwen1.5-32B-Chat,verse,0.05,4,512,0.0078,16384,16384,768,3,0.996796,0.955125,0.070638,0.884487
Qwen1.5-32B-Chat,verse,0.05,8,512,0.0156,16384,16384,768,3,0.997012,0.981747,0.146089,0.835658
Qwen1.5-32B-Chat,verse,0.05,16,512,0.0312,16384,16384,768,3,0.997777,0.992554,0.265817,0.726737
Qwen1.5-32B-Chat,verse,0.05,24,512,0.0469,16384,16384,768,3,0.998126,0.99461,0.3473,0.647311
Qwen1.5-32B-Chat,verse,0.05,32,512,0.0625,16384,16384,768,3,0.998444,0.995816,0.419477,0.576338
Qwen1.5-32B-Chat,verse,0.05,48,512,0.0938,16384,16384,768,3,0.998877,0.996953,0.527818,0.469135
Qwen1.5-32B-Chat,verse,0.05,64,512,0.125,16384,16384,768,3,0.999085,0.997684,0.6154,0.382284
Qwen1.5-32B-Chat,verse,0.05,96,512,0.1875,16384,16384,768,3,0.999414,0.998565,0.746047,0.252518
Qwen1.5-32B-Chat,verse,0.05,128,512,0.25,16384,16384,768,3,0.999611,0.999082,0.844749,0.154333
Qwen1.5-32B-Chat,verse,0.05,2,640,0.0031,16384,16384,768,3,0.991845,0.980227,0.043341,0.936886
Qwen1.5-32B-Chat,verse,0.05,4,640,0.0063,16384,16384,768,3,0.996831,0.957493,0.063868,0.893625
Qwen1.5-32B-Chat,verse,0.05,8,640,0.0125,16384,16384,768,3,0.997002,0.982226,0.131196,0.85103
Qwen1.5-32B-Chat,verse,0.05,16,640,0.025,16384,16384,768,3,0.997739,0.99257,0.236799,0.755771
Qwen1.5-32B-Chat,verse,0.05,24,640,0.0375,16384,16384,768,3,0.998105,0.99448,0.311948,0.682533
Qwen1.5-32B-Chat,verse,0.05,32,640,0.05,16384,16384,768,3,0.998403,0.995604,0.373663,0.621941
Qwen1.5-32B-Chat,verse,0.05,48,640,0.075,16384,16384,768,3,0.998775,0.996851,0.474771,0.52208
Qwen1.5-32B-Chat,verse,0.05,64,640,0.1,16384,16384,768,3,0.999022,0.997568,0.555932,0.441636
Qwen1.5-32B-Chat,verse,0.05,96,640,0.15,16384,16384,768,3,0.999342,0.998423,0.677498,0.320925
Qwen1.5-32B-Chat,verse,0.05,128,640,0.2,16384,16384,768,3,0.99956,0.998926,0.772598,0.226328
Qwen1.5-32B-Chat,summarization,0.05,2,64,0.0312,16384,16384,768,3,0.961649,0.673614,0.136693,0.536921
Qwen1.5-32B-Chat,summarization,0.05,4,64,0.0625,16384,16384,768,3,0.994762,0.779545,0.193544,0.586001
Qwen1.5-32B-Chat,summarization,0.05,8,64,0.125,16384,16384,768,3,0.996799,0.987579,0.414482,0.573097
Qwen1.5-32B-Chat,summarization,0.05,16,64,0.25,16384,16384,768,3,0.998942,0.996545,0.736199,0.260345
Qwen1.5-32B-Chat,summarization,0.05,24,64,0.375,16384,16384,768,3,0.99973,0.999084,0.913961,0.085124
Qwen1.5-32B-Chat,summarization,0.05,32,64,0.5,16384,16384,768,3,1.0,0.999953,0.995044,0.004909
Qwen1.5-32B-Chat,summarization,0.05,48,64,0.75,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,0.05,64,64,1.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,0.05,96,64,1.5,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,0.05,128,64,2.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,0.05,2,128,0.0156,16384,16384,768,3,0.990013,0.572924,0.099721,0.473204
Qwen1.5-32B-Chat,summarization,0.05,4,128,0.0312,16384,16384,768,3,0.996467,0.767246,0.138859,0.628387
Qwen1.5-32B-Chat,summarization,0.05,8,128,0.0625,16384,16384,768,3,0.997454,0.985777,0.297668,0.688109
Qwen1.5-32B-Chat,summarization,0.05,16,128,0.125,16384,16384,768,3,0.998494,0.99458,0.516877,0.477703
Qwen1.5-32B-Chat,summarization,0.05,24,128,0.1875,16384,16384,768,3,0.999054,0.996986,0.671069,0.325917
Qwen1.5-32B-Chat,summarization,0.05,32,128,0.25,16384,16384,768,3,0.999377,0.998127,0.787825,0.210302
Qwen1.5-32B-Chat,summarization,0.05,48,128,0.375,16384,16384,768,3,0.999788,0.999518,0.943885,0.055633
Qwen1.5-32B-Chat,summarization,0.05,64,128,0.5,16384,16384,768,3,1.0,0.999995,0.99869,0.001305
Qwen1.5-32B-Chat,summarization,0.05,96,128,0.75,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,0.05,128,128,1.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,summarization,0.05,2,256,0.0078,16384,16384,768,3,0.990239,0.630336,0.077892,0.552444
Qwen1.5-32B-Chat,summarization,0.05,4,256,0.0156,16384,16384,768,3,0.995606,0.793032,0.109755,0.683277
Qwen1.5-32B-Chat,summarization,0.05,8,256,0.0312,16384,16384,768,3,0.996983,0.987988,0.201636,0.786352
Qwen1.5-32B-Chat,summarization,0.05,16,256,0.0625,16384,16384,768,3,0.998162,0.99414,0.373024,0.621116
Qwen1.5-32B-Chat,summarization,0.05,24,256,0.0938,16384,16384,768,3,0.998472,0.99588,0.487717,0.508163
Qwen1.5-32B-Chat,summarization,0.05,32,256,0.125,16384,16384,768,3,0.998873,0.996844,0.575311,0.421534
Qwen1.5-32B-Chat,summarization,0.05,48,256,0.1875,16384,16384,768,3,0.999307,0.998123,0.721913,0.27621
Qwen1.5-32B-Chat,summarization,0.05,64,256,0.25,16384,16384,768,3,0.999578,0.998848,0.826881,0.171967
Qwen1.5-32B-Chat,summarization,0.05,96,256,0.375,16384,16384,768,3,0.999861,0.999636,0.956006,0.04363
Qwen1.5-32B-Chat,summarization,0.05,128,256,0.5,16384,16384,768,3,1.0,1.0,0.999733,0.000266
Qwen1.5-32B-Chat,summarization,0.05,2,384,0.0052,16384,16384,768,3,0.993921,0.627979,0.057566,0.570413
Qwen1.5-32B-Chat,summarization,0.05,4,384,0.0104,16384,16384,768,3,0.996495,0.761819,0.079764,0.682056
Qwen1.5-32B-Chat,summarization,0.05,8,384,0.0208,16384,16384,768,3,0.997325,0.987667,0.168564,0.819103
Qwen1.5-32B-Chat,summarization,0.05,16,384,0.0417,16384,16384,768,3,0.998172,0.993719,0.3066,0.687118
Qwen1.5-32B-Chat,summarization,0.05,24,384,0.0625,16384,16384,768,3,0.998613,0.995361,0.409375,0.585986
Qwen1.5-32B-Chat,summarization,0.05,32,384,0.0833,16384,16384,768,3,0.998883,0.996334,0.481183,0.515151
Qwen1.5-32B-Chat,summarization,0.05,48,384,0.125,16384,16384,768,3,0.999226,0.997556,0.603315,0.394241
Qwen1.5-32B-Chat,summarization,0.05,64,384,0.1667,16384,16384,768,3,0.999421,0.998166,0.704028,0.294138
Qwen1.5-32B-Chat,summarization,0.05,96,384,0.25,16384,16384,768,3,0.999661,0.999012,0.843698,0.155314
Qwen1.5-32B-Chat,summarization,0.05,128,384,0.3333,16384,16384,768,3,0.999831,0.999528,0.93245,0.067078
Qwen1.5-32B-Chat,summarization,0.05,2,512,0.0039,16384,16384,768,3,0.993632,0.572861,0.050824,0.522037
Qwen1.5-32B-Chat,summarization,0.05,4,512,0.0078,16384,16384,768,3,0.996451,0.767522,0.070885,0.696637
Qwen1.5-32B-Chat,summarization,0.05,8,512,0.0156,16384,16384,768,3,0.9975,0.987534,0.149247,0.838287
Qwen1.5-32B-Chat,summarization,0.05,16,512,0.0312,16384,16384,768,3,0.998025,0.993919,0.265469,0.728449
Qwen1.5-32B-Chat,summarization,0.05,24,512,0.0469,16384,16384,768,3,0.998553,0.995323,0.347664,0.647659
Qwen1.5-32B-Chat,summarization,0.05,32,512,0.0625,16384,16384,768,3,0.99878,0.996068,0.419455,0.576612
Qwen1.5-32B-Chat,summarization,0.05,48,512,0.0938,16384,16384,768,3,0.999078,0.997176,0.524657,0.472518
Qwen1.5-32B-Chat,summarization,0.05,64,512,0.125,16384,16384,768,3,0.999274,0.997896,0.615527,0.382368
Qwen1.5-32B-Chat,summarization,0.05,96,512,0.1875,16384,16384,768,3,0.999527,0.998658,0.75002,0.248638
Qwen1.5-32B-Chat,summarization,0.05,128,512,0.25,16384,16384,768,3,0.999678,0.999144,0.845882,0.153262
Qwen1.5-32B-Chat,summarization,0.05,2,640,0.0031,16384,16384,768,3,0.993966,0.587115,0.045698,0.541417
Qwen1.5-32B-Chat,summarization,0.05,4,640,0.0063,16384,16384,768,3,0.99622,0.769779,0.063965,0.705813
Qwen1.5-32B-Chat,summarization,0.05,8,640,0.0125,16384,16384,768,3,0.997272,0.98756,0.127867,0.859693
Qwen1.5-32B-Chat,summarization,0.05,16,640,0.025,16384,16384,768,3,0.997999,0.993797,0.235205,0.758592
Qwen1.5-32B-Chat,summarization,0.05,24,640,0.0375,16384,16384,768,3,0.998528,0.995072,0.310512,0.684559
Qwen1.5-32B-Chat,summarization,0.05,32,640,0.05,16384,16384,768,3,0.998736,0.995909,0.373306,0.622604
Qwen1.5-32B-Chat,summarization,0.05,48,640,0.075,16384,16384,768,3,0.999041,0.997077,0.472828,0.524249
Qwen1.5-32B-Chat,summarization,0.05,64,640,0.1,16384,16384,768,3,0.999242,0.997723,0.554832,0.442891
Qwen1.5-32B-Chat,summarization,0.05,96,640,0.15,16384,16384,768,3,0.999473,0.998522,0.681252,0.31727
Qwen1.5-32B-Chat,summarization,0.05,128,640,0.2,16384,16384,768,3,0.999618,0.998946,0.774716,0.22423
Qwen1.5-32B-Chat,persona,0.05,2,64,0.0312,16384,16384,768,3,0.991944,0.626596,0.120153,0.506444
Qwen1.5-32B-Chat,persona,0.05,4,64,0.0625,16384,16384,768,3,0.994344,0.75109,0.196633,0.554457
Qwen1.5-32B-Chat,persona,0.05,8,64,0.125,16384,16384,768,3,0.997321,0.98732,0.430264,0.557056
Qwen1.5-32B-Chat,persona,0.05,16,64,0.25,16384,16384,768,3,0.998817,0.996682,0.728624,0.268058
Qwen1.5-32B-Chat,persona,0.05,24,64,0.375,16384,16384,768,3,0.999711,0.999102,0.909211,0.089891
Qwen1.5-32B-Chat,persona,0.05,32,64,0.5,16384,16384,768,3,1.0,0.999973,0.995066,0.004907
Qwen1.5-32B-Chat,persona,0.05,48,64,0.75,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,persona,0.05,64,64,1.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,persona,0.05,96,64,1.5,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,persona,0.05,128,64,2.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,persona,0.05,2,128,0.0156,16384,16384,768,3,0.989191,0.657009,0.094225,0.562785
Qwen1.5-32B-Chat,persona,0.05,4,128,0.0312,16384,16384,768,3,0.993326,0.738128,0.139806,0.598322
Qwen1.5-32B-Chat,persona,0.05,8,128,0.0625,16384,16384,768,3,0.996341,0.986908,0.301109,0.685799
Qwen1.5-32B-Chat,persona,0.05,16,128,0.125,16384,16384,768,3,0.998073,0.994507,0.518959,0.475548
Qwen1.5-32B-Chat,persona,0.05,24,128,0.1875,16384,16384,768,3,0.998872,0.996796,0.674392,0.322404
Qwen1.5-32B-Chat,persona,0.05,32,128,0.25,16384,16384,768,3,0.999271,0.998068,0.790864,0.207204
Qwen1.5-32B-Chat,persona,0.05,48,128,0.375,16384,16384,768,3,0.999812,0.999528,0.940024,0.059504
Qwen1.5-32B-Chat,persona,0.05,64,128,0.5,16384,16384,768,3,1.0,0.999993,0.998583,0.00141
Qwen1.5-32B-Chat,persona,0.05,96,128,0.75,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,persona,0.05,128,128,1.0,16384,16384,768,3,1.0,1.0,1.0,0.0
Qwen1.5-32B-Chat,persona,0.05,2,256,0.0078,16384,16384,768,3,0.989257,0.636852,0.06831,0.568541
Qwen1.5-32B-Chat,persona,0.05,4,256,0.0156,16384,16384,768,3,0.991772,0.737987,0.100878,0.637109
Qwen1.5-32B-Chat,persona,0.05,8,256,0.0312,16384,16384,768,3,0.995068,0.986936,0.207342,0.779594
Qwen1.5-32B-Chat,persona,0.05,16,256,0.0625,16384,16384,768,3,0.997935,0.994013,0.370822,0.623191
Qwen1.5-32B-Chat,persona,0.05,24,256,0.0938,16384,16384,768,3,0.998551,0.995849,0.49177,0.504079
Qwen1.5-32B-Chat,persona,0.05,32,256,0.125,16384,16384,768,3,0.999032,0.996925,0.585519,0.411406
Qwen1.5-32B-Chat,persona,0.05,48,256,0.1875,16384,16384,768,3,0.999459,0.998098,0.723609,0.27449
Qwen1.5-32B-Chat,persona,0.05,64,256,0.25,16384,16384,768,3,0.999658,0.998851,0.829261,0.169589
