model,task,group,n_units,eta2_concept,eta2_format,ctl_concept,ctl_format,exc_concept,exc_format
gemma-3-12b-it,verse,LF-only,31,0.046514302844049615,0.6581837109156903,0.044292170151051906,0.6680912670873135,0.0022221326929977095,-0.0099075561716232
gemma-3-12b-it,verse,ST-only,31,0.0364800469283615,0.7281140776728032,0.04098847904768964,0.7162769164967756,-0.004508432119328137,0.011837161176027622
gemma-3-12b-it,summarization,LF-only,32,0.015770708237919435,0.7213967140025201,0.016021833213573002,0.7122156024123781,-0.00025112497565356676,0.00918111159014201
gemma-3-12b-it,summarization,ST-only,32,0.009775105426891096,0.6859192124130995,0.01023348694056352,0.7044190057139275,-0.00045838151367242307,-0.01849979330082796
gemma-3-12b-it,bias,LF-only,31,0.022805737652218844,0.8748888882916411,0.022372853201805567,0.877797973642783,0.00043288445041327756,-0.0029090853511418713
gemma-3-12b-it,bias,ST-only,31,0.014490387935835002,0.9041444848705406,0.015615605707620613,0.8991020260800192,-0.0011252177717856107,0.0050424587905213425
gemma-3-12b-it,factual recall,LF-only,35,0.06661301869371852,0.5971336255151147,0.06561983418612179,0.6037556861601566,0.0009931845075967366,-0.006622060645041894
gemma-3-12b-it,factual recall,ST-only,35,0.04875924502363992,0.601955956012954,0.04767198673808025,0.6052117804905474,0.0010872582855596738,-0.0032558244775933165
gemma-3-12b-it,persona,LF-only,35,0.07344730792608996,0.8237242288438544,0.07632786993613616,0.8173648449885194,-0.002880562010046203,0.006359383855335077
gemma-3-12b-it,persona,ST-only,35,0.06689181269580075,0.825600276957168,0.06575934335956896,0.8271803520196013,0.0011324693362317895,-0.0015800750624332949
