model,task,group,n_units,probe_acc,control,excess
OLMo-2-1124-13B-DPO,verse,LF-only,68,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,verse,ST-only,68,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,summarization,LF-only,72,1.0,0.9944444444444445,0.005555555555555536
OLMo-2-1124-13B-DPO,summarization,ST-only,72,1.0,0.9944444444444445,0.005555555555555536
OLMo-2-1124-13B-DPO,bias,LF-only,70,0.9833333333333334,0.9833333333333334,0.0
OLMo-2-1124-13B-DPO,bias,ST-only,70,0.9833333333333334,0.9833333333333334,0.0
OLMo-2-1124-13B-DPO,persona,LF-only,71,1.0,1.0,0.0
OLMo-2-1124-13B-DPO,persona,ST-only,71,1.0,1.0,0.0
