model,localization,patch_site,N,topk,w_rf
gemma-3-12b-it,verse-single,o_proj_in,1,0.01,0.1
gemma-3-12b-it,verse-single,o_proj_in,1,0.03,0.04
gemma-3-12b-it,verse-single,o_proj_in,1,0.05,0.04
gemma-3-12b-it,verse-single,o_proj_in,1,0.07,0.06
gemma-3-12b-it,verse-single,o_proj_in,1,0.09,0.04
gemma-3-12b-it,verse-single,o_proj_in,1,0.1,0.04
gemma-3-12b-it,verse-single,o_proj_in,1,0.5,0.06
gemma-3-12b-it,verse-single,o_proj_in,1,1.0,0.1
gemma-3-12b-it,verse-single,o_proj_in,2,0.01,0.1
gemma-3-12b-it,verse-single,o_proj_in,2,0.03,0.06
gemma-3-12b-it,verse-single,o_proj_in,2,0.05,0.08
gemma-3-12b-it,verse-single,o_proj_in,2,0.07,0.02
gemma-3-12b-it,verse-single,o_proj_in,2,0.09,0.02
gemma-3-12b-it,verse-single,o_proj_in,2,0.1,0.04
gemma-3-12b-it,verse-single,o_proj_in,2,0.5,0.36
gemma-3-12b-it,verse-single,o_proj_in,2,1.0,0.2
gemma-3-12b-it,verse-single,o_proj_in,4,0.01,0.1
gemma-3-12b-it,verse-single,o_proj_in,4,0.03,0.1
gemma-3-12b-it,verse-single,o_proj_in,4,0.05,0.06
gemma-3-12b-it,verse-single,o_proj_in,4,0.07,0.04
gemma-3-12b-it,verse-single,o_proj_in,4,0.09,0.04
gemma-3-12b-it,verse-single,o_proj_in,4,0.1,0.06
gemma-3-12b-it,verse-single,o_proj_in,4,0.5,0.54
gemma-3-12b-it,verse-single,o_proj_in,4,1.0,0.2
gemma-3-12b-it,verse-single,o_proj_in,5,0.01,0.12
gemma-3-12b-it,verse-single,o_proj_in,5,0.03,0.1
gemma-3-12b-it,verse-single,o_proj_in,5,0.05,0.06
gemma-3-12b-it,verse-single,o_proj_in,5,0.07,0.04
gemma-3-12b-it,verse-single,o_proj_in,5,0.09,0.08
gemma-3-12b-it,verse-single,o_proj_in,5,0.1,0.1
gemma-3-12b-it,verse-single,o_proj_in,5,0.5,0.22
gemma-3-12b-it,verse-single,o_proj_in,5,1.0,0.2
gemma-3-12b-it,verse-single,o_proj_in,6,0.01,0.1
gemma-3-12b-it,verse-single,o_proj_in,6,0.03,0.12
gemma-3-12b-it,verse-single,o_proj_in,6,0.05,0.08
gemma-3-12b-it,verse-single,o_proj_in,6,0.07,0.06
gemma-3-12b-it,verse-single,o_proj_in,6,0.09,0.14
gemma-3-12b-it,verse-single,o_proj_in,6,0.1,0.08
gemma-3-12b-it,verse-single,o_proj_in,6,0.5,0.16
gemma-3-12b-it,verse-single,o_proj_in,6,1.0,0.38
gemma-3-12b-it,verse-single,o_proj_in,8,0.01,0.12
gemma-3-12b-it,verse-single,o_proj_in,8,0.03,0.08
gemma-3-12b-it,verse-single,o_proj_in,8,0.05,0.08
gemma-3-12b-it,verse-single,o_proj_in,8,0.07,0.06
gemma-3-12b-it,verse-single,o_proj_in,8,0.09,0.4
gemma-3-12b-it,verse-single,o_proj_in,8,0.1,0.18
gemma-3-12b-it,verse-single,o_proj_in,8,0.5,0.12
gemma-3-12b-it,verse-single,o_proj_in,8,1.0,0.12
gemma-3-12b-it,verse-single,o_proj_in,10,0.01,0.12
gemma-3-12b-it,verse-single,o_proj_in,10,0.03,0.1
gemma-3-12b-it,verse-single,o_proj_in,10,0.05,0.24
gemma-3-12b-it,verse-single,o_proj_in,10,0.07,0.1
gemma-3-12b-it,verse-single,o_proj_in,10,0.09,0.24
gemma-3-12b-it,verse-single,o_proj_in,10,0.1,0.26
gemma-3-12b-it,verse-single,o_proj_in,10,0.5,0.04
gemma-3-12b-it,verse-single,o_proj_in,10,1.0,0.04
