model,localization,patch_site,N,topk,w_rf
Qwen1.5-14B-Chat,verse-long,o_proj_in,4,0.07,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,4,0.09,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,4,0.1,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,4,0.5,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,4,1.0,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,0.01,0.04
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,0.03,0.28
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,0.05,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,0.07,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,0.09,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,0.1,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,0.5,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,5,1.0,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,0.01,0.28
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,0.03,0.7
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,0.05,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,0.07,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,0.09,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,0.1,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,0.5,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,6,1.0,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,0.01,0.78
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,0.03,0.92
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,0.05,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,0.07,0.0
Qwen1.5-14B-Chat,verse-long,o_proj_in,8,0.09,0.0
