layer,neuron,value
12,4,0.7554791
12,38,1.1257617
13,22,0.7035043
14,11,2.3452637
14,20,0.7543815
14,36,0.9105566
15,2,0.81094176
15,29,0.7122919
16,4,1.4088233
16,10,1.3784033
16,14,1.6607934
16,17,5.408252
16,21,0.7121521
16,23,1.88229
16,24,0.76583743
16,34,1.9897119
17,0,0.7757764
17,7,1.2060156
17,16,1.2001691
17,18,3.2623339
17,23,1.218457
17,24,2.2594957
17,26,1.1849927
17,28,0.8306433
17,29,0.96185184
17,34,8.382319
18,0,2.6198096
18,4,2.4072168
18,6,1.0081208
18,7,1.6004809
18,11,0.8201074
18,13,0.9281219
18,22,1.0212842
18,27,1.465437
18,39,1.9338757
19,8,6.025781
19,9,1.6889288
19,12,2.276704
19,13,2.1549025
19,19,0.84265745
19,20,1.3551245
19,25,2.8696973
19,29,1.4789667
19,33,2.544043
19,38,7.6115527
20,0,2.3041162
20,10,1.115913
20,15,0.73649186
20,17,1.2182349
20,18,2.0459278
20,23,2.7116637
20,25,2.37958
20,29,2.3204205
20,33,2.8339355
21,10,0.9297766
21,17,0.97991514
21,19,2.9827392
21,27,0.7049707
21,29,2.124117
21,32,0.6895224
21,33,0.8495041
21,35,1.1023291
21,36,1.102146
21,38,0.81238526
22,2,1.7596899
22,3,3.0458496
22,4,1.8886032
22,11,0.8901538
22,24,1.1291251
22,25,0.6912842
22,35,3.57042
22,36,1.2599683
23,3,1.5566695
23,24,2.2766845
23,37,0.9751416
24,8,1.2869446
24,16,0.90526825
24,17,1.1445825
24,28,1.0121741
25,5,0.87809265
25,38,0.70954835
26,13,0.7051229
28,33,1.261322
29,35,0.9803413
30,10,0.7395673
30,24,2.5506494
31,16,2.1913455
32,13,0.6928705
32,32,1.6044898
33,21,1.7647535
33,23,0.87184995
33,28,1.8360987
33,37,0.71136373
34,26,4.148008
35,5,1.0497315
35,8,1.4342285
36,3,1.3200574
36,9,1.7162122
36,10,0.7498578
36,33,2.082091
37,4,0.78939456
37,6,1.7646412
37,11,1.6954199
37,13,1.4453027
37,14,1.4935962
37,15,1.847583
37,16,0.8036426
37,31,0.8070224
37,34,2.850442
38,2,2.4396508
38,12,1.6633087
38,16,1.2356884
38,20,1.0310156
38,22,1.2255005
38,23,1.1807171
38,25,0.7349293
38,32,3.5629687
38,33,1.9107038
38,37,1.0637794
39,5,1.8958106
39,9,2.7779236
39,16,2.5323222
39,29,1.0366538
39,33,1.0819546
39,36,1.3902783
39,38,0.81786376
40,0,0.99460083
40,1,2.8103466
40,4,1.3067554
40,5,1.0975494
40,14,1.0254065
40,15,2.124077
40,17,6.5070896
40,23,1.1505469
40,24,0.8968375
40,34,2.456494
40,39,0.74836546
41,2,0.73508716
41,3,0.78909147
41,7,0.6944458
41,8,1.741341
41,13,0.8344092
41,17,2.7009013
41,18,0.7006348
41,21,1.5952393
41,23,0.9826977
41,24,1.3578027
41,27,0.7062964
41,28,0.8486084
41,34,0.9546399
41,36,0.76141846
41,39,1.0359814
42,6,0.9101355
42,13,0.7693396
42,14,0.9354907
42,20,1.5092236
42,24,0.7278467
42,28,0.77806765
42,36,4.3601365
43,0,1.7697382
43,1,1.7382019
43,3,1.3974463
43,5,1.6323633
43,7,2.6855469
43,8,3.0646386
43,9,1.1133447
43,14,0.9115503
43,16,9.6122265
43,17,1.9845215
43,18,2.116565
43,22,0.7284668
43,27,2.0064428
43,29,0.8829663
43,30,1.0016577
43,36,2.2843456
43,38,2.0292962
44,0,1.941262
44,1,0.9922595
44,3,0.73064697
44,4,0.7271712
44,19,0.91631836
44,21,1.1927099
44,23,1.7834692
44,25,0.93364745
44,26,0.7657446
44,38,0.97189146
44,39,1.1604638
45,4,1.0847315
45,6,1.5951123
45,11,0.9106824
45,13,1.3877491
45,17,1.0247989
45,19,0.83329713
45,22,0.947467
45,29,1.801189
45,33,0.7847974
45,35,0.88554597
45,36,0.80929166
45,38,1.563031
46,7,1.0545017
46,11,1.5936279
46,27,1.0122364
46,29,1.0723071
46,35,2.98396
46,36,0.9230298
47,11,0.8885623
47,15,6.9683986
47,17,2.162544
47,29,0.8750708
47,34,3.1232104
48,13,4.245288
48,20,4.452412
49,4,1.0131189
49,9,0.6878754
50,2,1.7492218
50,20,0.8766632
51,0,0.8693382
51,25,0.9012866
51,38,0.7543741
52,34,2.9078321
54,0,1.2184814
54,9,0.9520825
54,20,1.3270898
55,6,0.77674806
55,15,0.726521
57,34,0.8496582
59,11,1.5805805
61,15,2.6883614
62,12,0.8433557
63,7,0.84591675
