model,localization,layer,head,eigval_real,eigval_imag,eigval_mag,is_real,concentration
Qwen1.5-14B-Chat,from_verse-long_to_prose,9,26,-0.2605137526988983,-0.03383179381489754,0.2627013623714447,False,0.029849985614418983
Qwen1.5-14B-Chat,from_verse-long_to_prose,16,26,0.5841704607009888,0.0,0.5841704607009888,True,0.03188566863536835
Qwen1.5-14B-Chat,from_verse-long_to_prose,20,17,0.5628296136856079,0.0,0.5628296136856079,True,0.07018919289112091
Qwen1.5-14B-Chat,from_verse-long_to_prose,15,26,-0.0974966362118721,0.4594150483608246,0.4696464240550995,False,0.030894845724105835
Qwen1.5-14B-Chat,from_verse-long_to_prose,17,2,0.4118283689022064,0.0,0.4118283689022064,True,0.024674637243151665
Qwen1.5-14B-Chat,from_verse-long_to_prose,11,26,0.6673135161399841,-0.039033014327287674,0.668454110622406,False,0.016568537801504135
Qwen1.5-14B-Chat,from_verse-long_to_prose,18,26,-1.2230618000030518,0.00685220817103982,1.2230808734893799,True,0.03412628546357155
Qwen1.5-14B-Chat,from_verse-long_to_prose,17,26,-0.8744930624961853,0.01789179816842079,0.874675989151001,True,0.035320945084095
Qwen1.5-14B-Chat,from_verse-long_to_prose,22,26,-0.4079113304615021,0.0,0.4079113304615021,True,0.04054078459739685
Qwen1.5-14B-Chat,from_verse-long_to_prose,15,12,-0.24147747457027435,0.5350469350814819,0.5870149731636047,False,0.05247285217046738
Qwen1.5-14B-Chat,from_verse-long_to_prose,14,26,0.43229562044143677,-0.06539703905582428,0.4372142553329468,False,0.022244920954108238
Qwen1.5-14B-Chat,from_verse-long_to_prose,17,9,-1.1185367107391357,0.3224121034145355,1.1640764474868774,False,0.13335444033145905
Qwen1.5-14B-Chat,from_verse-long_to_prose,19,2,-0.8900685906410217,0.0,0.8900685906410217,True,0.11919891089200974
Qwen1.5-14B-Chat,from_verse-long_to_prose,23,26,-0.3514438271522522,0.0,0.3514438271522522,True,0.028841249644756317
Qwen1.5-14B-Chat,from_verse-long_to_prose,17,29,-1.1479135751724243,0.0,1.1479135751724243,True,0.029423626139760017
Qwen1.5-14B-Chat,from_verse-long_to_prose,19,0,-1.266950011253357,0.0,1.266950011253357,True,0.016528230160474777
Qwen1.5-14B-Chat,from_verse-long_to_prose,18,32,-0.39628496766090393,0.8258295059204102,0.9159892201423645,False,0.08522436022758484
Qwen1.5-14B-Chat,from_verse-long_to_prose,20,7,-0.41484203934669495,0.018369775265455246,0.4152485430240631,True,0.028406856581568718
Qwen1.5-14B-Chat,from_verse-long_to_prose,12,26,-0.5384934544563293,0.03020968660712242,0.5393401384353638,False,0.05821840837597847
Qwen1.5-14B-Chat,from_verse-long_to_prose,18,16,-1.844797134399414,0.0,1.844797134399414,True,0.04597020149230957
Qwen1.5-14B-Chat,from_verse-single_to_prose,17,35,-0.9080027341842651,0.35908031463623047,0.9764260053634644,False,0.015215328894555569
Qwen1.5-14B-Chat,from_verse-single_to_prose,18,7,-0.15455888211727142,-0.3649612069129944,0.39633968472480774,False,0.0234251469373703
Qwen1.5-14B-Chat,from_verse-single_to_prose,19,14,0.5414987206459045,0.0,0.5414987206459045,True,0.029036739841103554
Qwen1.5-14B-Chat,from_verse-single_to_prose,17,7,0.8540269732475281,0.0,0.8540269732475281,True,0.029938122257590294
Qwen1.5-14B-Chat,from_verse-single_to_prose,19,21,-0.3825070858001709,0.022544559091329575,0.38317087292671204,False,0.02609066292643547
Qwen1.5-14B-Chat,from_verse-single_to_prose,17,28,-0.350210040807724,0.19221565127372742,0.3994921147823334,False,0.04274076223373413
Qwen1.5-14B-Chat,from_verse-single_to_prose,17,30,0.6934013962745667,0.0,0.6934013962745667,True,0.033491697162389755
Qwen1.5-14B-Chat,from_verse-single_to_prose,22,16,0.4930747449398041,-0.044559869915246964,0.49508410692214966,False,0.024936387315392494
Qwen1.5-14B-Chat,from_verse-single_to_prose,17,32,-0.5204312801361084,0.0,0.5204312801361084,True,0.04039765149354935
Qwen1.5-14B-Chat,from_verse-single_to_prose,20,14,0.7085155844688416,0.0,0.7085155844688416,True,0.03932074084877968
Qwen1.5-14B-Chat,from_verse-single_to_prose,20,4,-0.17262040078639984,0.2991652190685272,0.34539487957954407,False,0.028914151713252068
Qwen1.5-14B-Chat,from_verse-single_to_prose,17,36,-0.2308272272348404,0.3129333257675171,0.38885533809661865,False,0.03208780288696289
Qwen1.5-14B-Chat,from_verse-single_to_prose,20,19,0.5667072534561157,0.0,0.5667072534561157,True,0.02435336261987686
Qwen1.5-14B-Chat,from_verse-single_to_prose,15,7,-0.5778846740722656,0.0,0.5778846740722656,True,0.09752143174409866
Qwen1.5-14B-Chat,from_verse-single_to_prose,22,31,0.6063520312309265,0.0921894907951355,0.6133202314376831,False,0.025980550795793533
Qwen1.5-14B-Chat,from_verse-single_to_prose,22,38,-0.3305862247943878,0.03086167387664318,0.33202362060546875,False,0.029072580859065056
Qwen1.5-14B-Chat,from_verse-single_to_prose,34,25,0.5761403441429138,0.0,0.5761403441429138,True,0.02328537218272686
Qwen1.5-14B-Chat,from_verse-single_to_prose,20,33,0.5248205661773682,-0.009549546986818314,0.5249074101448059,True,0.019052743911743164
Qwen1.5-14B-Chat,from_verse-single_to_prose,17,3,0.374298095703125,0.23081909120082855,0.4397459328174591,False,0.03987116739153862
Qwen1.5-14B-Chat,from_verse-single_to_prose,18,4,-0.469573050737381,0.43621066212654114,0.6409201622009277,False,0.03585706278681755
