layer,neuron,value
12,10,1.2810984
14,4,1.5263467
14,6,0.92013186
14,36,1.1499743
15,3,0.786687
16,5,1.2891967
16,7,0.8683249
16,15,2.681283
16,20,1.0528375
17,1,0.9434924
17,3,0.967063
17,8,3.139148
17,11,1.3929981
17,21,2.3083727
17,30,3.7083008
18,0,3.3441992
18,28,1.0031171
18,37,1.0725
19,0,2.5233753
19,3,4.940137
19,5,2.1522875
19,8,1.6891724
19,11,0.8799145
19,22,1.2377759
19,36,0.84851074
20,0,3.1706445
20,17,3.1613867
20,18,0.86533445
20,24,2.095108
20,33,0.8921155
21,4,1.1412696
21,21,1.2188617
21,29,1.0209264
21,34,4.1005735
21,35,1.0898938
22,3,1.9714502
22,21,0.83375853
22,25,0.9592236
22,36,1.9875782
24,20,1.0695214
25,8,0.84909666
25,32,1.1900153
26,12,1.1611011
26,39,0.77544373
27,33,1.6269287
28,34,1.1365674
37,15,1.057359
38,12,0.8863727
