layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
11,0.58192873,-0.01159668,-1.9408607,0.50599486,-0.9505542,1.4002637,-0.2264441,0.7668994,0.30803284,0.12863494,1.0652149,-0.6883139,-0.28578246,-0.9755554,0.11519653,0.56706893,-0.58937895,0.10484512,-0.35669282,-0.13729645,-0.1252478,-0.0118941115,-1.0516467,-1.1096882,0.12193474,0.3746106,-0.5241475,-0.50151366,0.285728,0.36572814,-0.6226428,1.3107611,-0.5566089,0.05396118,-0.009348374,0.08292713,-0.09228501,-0.021201935,0.65475386,-1.483545
12,-0.2010791,0.17456666,-0.014047241,-0.56018066,0.048805464,-0.19969696,0.03457245,0.11671448,0.08495606,-0.31885132,-1.1921448,0.58606076,-0.6402307,0.47610626,-0.46639282,0.204823,0.48344177,-0.0015456915,-0.056557007,-0.21527283,-0.003394165,-0.07026489,0.28605378,0.20971985,0.12740844,0.062550046,-0.070305176,0.019950332,0.23824508,-0.76913804,-0.9127112,-0.0063476562,0.28826234,3.4146874,0.15307128,-0.037338868,0.019284667,-0.061271973,0.021028137,-0.09965058
13,0.80517215,-0.20298469,-0.13168198,0.21524811,2.7602856,0.033323668,0.7658072,0.39236543,0.003870697,0.9664105,-0.65471923,-0.707182,-0.011204987,0.6134766,0.027981872,-0.34812135,0.13850433,0.12820427,0.19564208,-0.52628356,0.050544836,-1.0789328,0.08710876,0.15104981,0.011098633,1.0363861,0.3399402,0.36134583,0.015133362,0.45063722,-0.37070343,-0.8348047,-0.38502198,-0.010167084,-0.49734527,0.9038495,-0.43031463,-2.7885306,-0.17397705,-0.90845764
14,0.15144683,0.15674011,0.30468872,0.22739838,0.761474,-0.060959473,-1.0081519,0.33585387,-1.0125415,7.1284375,-0.32175782,0.45529723,-0.03614853,0.6882294,-0.36121887,0.82842314,0.25160462,0.08408203,0.096694335,0.2637445,0.010932312,-0.20362549,2.3878906,0.6264703,-0.05122864,-0.435423,0.05675289,-0.42345336,0.0076587293,0.43148696,-0.06752136,-0.6636292,0.31144044,-0.464245,-1.9274658,0.15365274,-0.33273926,0.29816207,-0.3064589,-0.31621078
15,-0.21611999,-0.439812,-1.6380975,12.462812,1.0346985,-0.7459344,-0.187688,0.5016183,-0.3411615,-1.0253515,1.3299377,1.6604493,-0.24736573,-0.7428064,-1.2717456,0.39014098,0.14026459,-0.5029059,0.27916855,0.25339645,1.3580868,-0.39608428,0.30408433,0.0036154175,-0.24675858,-0.40543777,0.7083441,0.502937,0.4372792,0.18860413,9.065312,0.3050824,0.9610226,0.16792268,0.8903508,0.17357117,0.5564685,-0.11589691,0.4925473,-2.3326368
16,-0.6137183,3.9972363,-0.68844116,2.2643409,0.33968872,3.4152343,0.0757695,-0.23738983,-0.06287537,0.40244997,-0.43321365,-0.049952086,0.19435303,0.42914796,0.87623537,3.9375196,0.41096497,-2.4448035,-0.13279007,2.9389184,0.27029663,-0.9226074,-1.3909104,0.54473025,-0.720802,0.5512183,-0.05526718,-0.022725983,-0.11675919,-0.30521637,-2.5507789,-0.051846847,-1.499281,-0.21980095,0.12542573,0.0071643065,0.20605591,0.5286673,0.88035154,0.23130676
17,0.5574158,-0.91580445,-0.21561126,1.3334863,-0.2930188,-0.6289234,0.037479248,0.21826111,2.2934644,-0.7439502,-0.45900956,-0.9667108,0.38722047,0.13270752,0.13744019,-1.043612,-1.3545654,-0.79881406,0.922179,-1.0077747,-0.8500067,0.6171066,-0.55446225,0.33585998,-0.063657835,0.20713562,-1.7674011,0.9766353,0.9816162,-0.08027664,14.976993,-1.1310681,-0.57099867,0.6325578,7.2210546,-0.8897882,-0.8723897,-1.6876391,0.6339978,-0.19830963
18,5.9976172,-0.60911256,0.6844055,1.2559057,0.25366455,-3.488408,-1.3590112,-1.8527881,0.23117875,0.7734912,-0.5706262,0.37328675,0.28524292,0.22244385,0.5944647,-0.5976538,2.6788867,0.72616214,0.4268351,-0.45312095,-0.75033206,4.5870705,1.3816468,1.5472211,-0.2744507,-0.16884002,-0.22834152,-0.40662232,1.9548438,-0.3455078,0.24102783,0.14850707,-1.4339527,-1.0495621,0.18917458,-0.81014895,0.8316345,2.5379686,2.3219385,-1.7210188
19,3.1597462,-0.29843873,0.42481568,1.4661084,0.5142786,0.73217773,0.7439728,-2.1670215,4.453945,2.3377426,1.0449561,-0.0704718,-0.97089356,-2.9830408,-0.8521692,2.5727136,-2.943891,-1.0135132,-0.1342035,-0.7134601,0.52855104,0.969935,0.1376233,-0.041868858,-0.843772,-1.3817613,0.26825806,-1.3587512,-1.2202563,9.397031,-0.15560135,-6.4403906,0.102519535,-1.2731085,-0.9548392,0.07499115,0.6968567,-0.023901368,3.6561134,-0.09886414
20,3.4733496,-1.1137158,0.120736085,1.8930273,-0.48427367,0.03167694,-12.948281,0.25571778,-0.5708728,0.11201675,0.9722507,-0.39733046,0.21918458,0.2833496,0.11611084,-1.6172876,2.3551905,2.275011,0.9694043,0.42133912,-0.9343915,-4.257559,0.8427051,-0.15673874,4.6759324,-0.0074591064,0.31781524,2.6558886,-0.66606325,-0.5498676,0.2260144,0.17582314,0.44087258,5.07375,0.39538026,-0.13359985,-0.39105043,0.30173743,0.40365356,-0.07422302
