layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
30,1.1837207,0.09681396,0.5220215,0.79811525,-0.2783545,0.73599607,0.57081574,-2.5153124,0.09004501,0.3948291,0.8485742,1.7213964,-2.516924,10.248086,1.3483984,6.081133
31,1.7612109,0.37839845,0.9420752,1.1964978,-1.2310547,0.22368652,-0.12290283,0.095252074,-1.0369384,4.4814844,2.5606835,-0.63737303,0.707146,0.22953124,-0.5207802,0.42954224
32,-2.8277442,-0.8543567,0.11091065,0.4190869,-0.44287598,-0.5021777,0.5433691,-2.2375586,0.89887786,0.36271486,-2.6625,3.1783252,-0.16710937,-0.95266116,-0.027675781,1.2745703
33,-0.14112243,-0.22131836,1.8188379,0.09888183,2.821953,5.22668,0.6532031,-0.00043136597,-0.28083253,0.5754004,1.5616162,0.23156005,-0.009541016,0.17239563,1.4012011,0.66515625
34,-0.18302734,-0.27661803,-0.5985449,-0.08021423,-0.17382507,0.018851623,-0.04012085,0.43067873,0.066389695,-0.057524413,0.08096558,-0.15000123,-0.9157196,-0.30680177,0.24378906,0.0359671
35,0.11712769,0.2382373,-0.34609374,-0.41375855,-1.1912012,0.08873657,1.9143237,-2.8852246,2.1885939,-0.3720166,0.06468262,-0.39948976,-0.77096194,0.07844238,-0.44807494,0.18741578
36,1.125332,6.870625,-0.22935058,0.05936035,0.49225295,0.68847656,-0.7320703,-0.9920361,-0.20355347,-0.14066406,-0.24138717,-0.07879181,0.5984448,1.0870385,-0.50885546,1.7443067
37,0.0064089964,0.017124023,0.18478271,-0.08161072,-0.02479828,-0.19522095,0.021431275,-0.00789856,-0.0021627808,0.0042250063,2.0495703,-0.73095703,0.056161385,-0.010168076,0.9083789,0.039708864
38,-0.09696167,-0.02315918,0.22163086,0.06444641,-1.5102881,-7.9172654,0.7922583,0.49918702,0.25783202,-0.12792419,0.85291994,-1.175495,-0.3481592,-0.1998877,-0.31014037,0.17188476
39,-0.8375,0.14060181,0.16190186,0.503197,0.16750915,0.017697753,-1.5154883,-0.54236877,-0.21296631,0.20996094,0.25712404,-6.5376563,0.015169677,0.10351818,2.0997655,0.1480481
40,0.15591308,-0.2109912,-0.096063845,-0.44563964,-2.1392188,-5.3250194,-0.030717773,0.12938751,0.1529126,0.2795996,-0.5240558,0.6518726,-0.1904425,-0.081689455,-0.031038819,-0.026243515
41,1.2444531,-1.0523779,-2.1595995,2.2031908,0.016677856,0.4867407,-0.27108398,0.03800781,0.60857177,-1.6627393,3.0083594,-0.54327637,0.31604248,0.45192748,-0.32867402,0.38260743
42,-0.5069139,-0.63236815,0.30036744,-0.15645751,0.19125672,0.008666992,1.8754443,-0.036456835,-2.6178124,0.14092194,-0.8031445,0.13452637,0.26005858,-1.1249024,-0.034383547,-0.010964661
43,-1.8349218,-0.73676145,-3.8495069,5.1699367,0.015671425,2.063203,0.4879883,0.4507129,0.1578418,0.69362307,0.02805664,-0.0325708,-1.1839795,0.47385255,-0.024799805,-0.14442383
44,0.38376954,2.7827637,1.1975586,-0.39691895,1.281626,-1.2574512,-6.1404686,0.09583984,-1.2342725,-1.1076721,0.48566407,1.9432569,0.90316653,1.0200146,0.012833557,0.16019043
45,0.22288726,-3.6058593,-2.6382031,2.005879,0.182865,-0.9021277,0.16614442,-0.15511474,-0.13907012,-0.057042237,4.7787404,-0.25141603,-0.22699097,2.095819,-0.038733788,0.07365662
46,-2.0500488,-35.5525,-1.5346777,-2.7912354,-0.4497754,-1.9006836,-1.0313392,-6.2034373,-6.157031,0.86391604,-0.29805297,-0.6364258,-1.6699561,-0.29325196,0.26083297,-3.1503906
47,-0.046520997,0.02006958,-1.5187988,0.6285547,-1.1630371,-20.9675,-2.4251564,2.015332,3.950625,-0.7313281,0.23501709,0.07647461,-1.1829102,1.2323438,-0.9867676,-0.9140723
