layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
12,0.107989505,0.10854797,1.2977301,-0.53917295,0.041260377,-0.31553116,0.10919922,0.0627002,0.19571656,0.026506348,-0.2764856,0.57574403,-0.021362305,-0.9781189,0.3283618,-0.13670745,0.51481444,-1.6470374,0.15925474,-0.6836765,0.3349878,-0.3500348,-0.27138305,0.31146422,0.24549949,0.11865387,1.5153857,-0.30569214,-0.066409916,-0.0836438,-0.09779907,0.4888858,0.07777649,0.38280272,0.5646284,0.39644408,-0.44175872,-0.10324341,-0.014121704,-0.4782135
13,0.13931763,0.16182007,0.67160904,-1.1715528,0.1876088,-0.12054764,0.51260984,-0.07276672,0.7318085,-0.39707458,-0.32779723,-0.49584413,0.5254004,-0.6368274,0.76432127,0.3848584,0.8777112,-1.984878,0.7207617,-0.7117465,0.2684265,0.097955704,0.08590576,-0.035253905,-0.92714536,0.46126893,1.5557116,-0.48371947,0.17076996,0.19424072,0.0003186035,-0.14606567,-0.24338654,-0.645343,0.5711029,0.2886487,0.0073791505,-0.20706147,0.28157166,-0.6606824
14,0.5354089,0.13386902,0.17318726,-0.83755004,0.71572524,0.003373413,0.6788238,0.11095947,0.18065399,-0.1978772,0.16880783,-0.17781402,0.6364212,-0.29730406,0.3937201,0.29922867,0.71932065,-0.6001941,0.25474122,0.16038635,0.9044452,-0.64115787,-0.7282028,1.1813525,-0.73463136,0.98174316,1.9133471,0.3715793,-0.5929077,0.8670923,0.22129089,0.30726683,0.62610596,-0.41768065,0.21415283,0.58481354,-0.16860627,0.25031647,-0.14423737,-0.026641235
15,1.285542,1.3249414,1.2758191,-0.2151648,0.66173583,0.6655081,1.0574787,-0.004782257,-0.25857177,1.4647559,0.015895996,0.5904895,1.9665893,0.7678711,1.1698585,0.37009278,0.77797365,-0.013197632,0.10684021,-0.9063385,0.65958494,0.4915393,0.6624078,0.6281567,-0.564563,-0.37934327,2.593711,1.2114712,0.64283204,0.4681775,0.30371583,1.0009186,0.36189574,0.32038385,0.4142415,0.605592,0.53227353,0.75765777,0.29297334,0.20766968
16,0.38598022,0.37994477,1.1116614,0.09623779,-0.23193207,-0.3372345,0.26730102,0.87687075,1.0902002,0.76930666,0.5510968,1.1158252,0.26669922,0.0312854,-0.21127655,-1.7036548,-0.45877594,-0.7269653,0.6645764,1.0759412,-0.12364197,-1.0234125,0.88278776,0.57233644,-0.06824707,0.100279845,2.9586866,0.6319128,-0.034555662,0.045212556,0.5577748,0.90787107,-0.12168091,-0.8639726,0.4739667,-0.47487396,-0.091134645,1.0780029,-0.5797644,0.2760028
17,-0.03136322,0.40233582,2.651172,0.41827697,0.9219019,0.28225952,-0.3943341,1.2887988,-1.3148999,1.8463659,0.005317383,1.39354,-0.12646545,0.3558264,-0.6653815,0.32024413,0.58511716,0.30615968,0.8754968,-1.6116992,0.48280457,-0.24567047,1.2169287,-0.85467196,1.2108166,0.176839,2.0886986,0.8316211,-0.11300354,1.8154883,-0.25044432,0.2566275,-0.15230072,0.25532472,-0.25032958,-0.38074952,0.27325088,-0.6955231,0.99276125,1.33672
18,0.9057031,-0.51590514,1.4507728,-0.048721313,-0.5889691,0.04144043,0.6888409,1.4157099,0.013358154,0.19720459,0.45907167,1.4108752,0.2958246,1.0332284,-0.10563782,0.87198365,1.4626099,-0.13943191,0.6277289,-0.13388824,0.27865967,-0.23201904,0.22998047,0.9780652,0.44716766,-0.37602082,2.2722754,0.5742865,-0.49203384,-0.71707517,-0.74448305,0.24268265,1.4614502,0.39179078,0.020864258,-0.09647217,0.09383545,0.84403795,-1.5646241,1.1723975
19,1.5542346,0.58928955,2.0879102,-0.9817236,0.09375885,-0.12475586,0.23868744,0.88363767,0.08719239,0.7921353,0.06942215,0.79168946,-2.5580761,0.72125,0.6178308,1.2778109,0.9361584,0.05242676,0.6168802,-0.7758838,1.2603431,-1.7315723,-0.5559009,0.8211719,0.95099366,-0.8760614,0.6712846,1.1469971,-0.08307007,-0.03492859,0.35474,-0.9733862,0.22511841,0.028426666,-0.06944336,1.1243421,-2.5840626,-0.25553468,0.67836547,0.27628267
20,-0.13763748,0.09382935,-0.37525803,-0.46077392,0.8285599,-0.63203794,-0.6206714,1.4164599,0.080253296,0.5645346,-1.7864581,0.28131866,-0.063986816,0.2922699,-0.19138703,0.18983398,-0.33206025,2.81563,0.14065063,0.71982175,0.41779724,-0.2842749,-0.4621936,0.6031732,-0.10535324,-0.14136109,0.9746179,1.1788635,-0.20314515,0.41402802,-1.1298194,-0.09135345,0.2845099,0.5659833,-0.18907349,-0.42261475,0.18177123,0.31707963,-0.44852784,0.43272766
21,0.20935059,0.36905763,0.25104004,0.4621924,1.3953552,-0.13306214,0.28103638,0.39988038,0.31438476,-0.07425171,0.26145875,0.42331085,-0.17388916,0.14609192,0.31196654,0.09208069,-0.20620666,0.5480902,0.74774903,0.59830385,0.41709992,0.28496337,0.13213623,0.73450166,0.075404055,0.059893493,1.316847,1.0376959,0.72502565,0.16283935,-0.22467285,1.1972656,0.91660583,0.32131225,0.32034546,0.33269227,-0.6168013,-0.6148584,-0.28455383,-0.48053008
22,0.7231409,0.17491516,0.39626953,0.8380261,0.80464846,-0.27705687,0.34387696,-0.35932374,-0.20975281,-0.3389154,-0.18380126,0.22234833,-0.3979248,0.18101837,-0.3912741,0.52713776,-0.24041015,1.4556909,-0.062041625,0.27257583,0.65605104,0.5070789,0.1150177,0.31264588,0.022576142,-0.39416817,2.327478,0.4031775,0.62582034,-0.46839264,-0.59095275,0.39240235,-0.038014833,-0.48941955,0.14735901,-0.09645874,0.30475342,-0.83065003,-0.5922122,0.26730713
23,0.38939637,0.34062713,0.07616455,-0.16784027,0.38044435,0.08711639,0.35538208,-0.1512201,-0.5140417,0.009857788,-0.18369073,0.22219971,0.015054016,0.39380372,0.23487182,-0.09005005,-0.04024414,0.48311767,0.33763734,0.6222363,-0.27203736,0.18954651,0.061250612,-0.026275635,-0.1123761,0.026169129,1.9076757,-0.12304718,0.4363208,0.13223939,-0.5185315,0.14542907,0.47869384,-0.40561095,-0.046696167,0.107364506,0.02975708,-0.4360245,0.2403775,0.5634396
24,-0.19305572,-0.17209595,0.2798395,-0.05905945,0.23009185,-0.4564978,-0.111105956,-0.14084473,-0.2765164,0.076073304,-0.12918548,-0.57576597,-1.0974133,-0.26544982,-0.46520996,-0.51452273,-0.27574706,0.33479676,-0.009098663,0.12446167,-0.34361327,0.018477477,0.092704624,-0.27305785,-0.20769775,-0.35066926,1.4325634,0.38809448,0.005250244,-0.2140924,-0.5172888,-0.14659737,0.098209836,-0.08961792,-0.46653107,0.21965699,-0.16516541,-0.81417847,-0.058569334,-0.120788574
