layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
12,-0.29142213,0.11994385,0.06356445,-0.65663576,0.04887436,-0.20493287,0.015429688,-0.061803892,0.15451416,-0.4600586,-1.4441601,0.5990039,-0.57964563,0.54483396,-0.39124024,0.16433838,0.5808313,0.0011497497,-0.0012976074,-0.20238525,0.010053711,-0.037036132,0.20007691,0.16018066,0.12692383,0.12146484,-0.17074218,0.040523455,0.32605958,-0.7472131,-0.86769533,-0.004059906,0.3350635,3.4204955,0.088271484,-0.11918091,-0.018606568,-0.15931396,0.038176116,-0.18006897
13,0.7401929,-0.100992434,-0.102861635,0.37027588,2.543236,0.03566681,0.77330935,0.37981078,0.013209534,0.80049074,-0.7266797,-0.9144202,-0.0061218264,0.7553613,0.03499756,-0.33347657,0.20923492,0.20093507,0.18418945,-0.5115918,0.05525284,-1.2873975,-0.085935056,0.14541993,0.03592041,1.1580453,0.26590088,0.32370728,0.03239502,0.47266114,-0.50442386,-0.75962645,-0.5532666,0.09341919,-0.558042,0.8183789,-0.3343042,-3.0353985,-0.045718994,-0.8247754
14,0.19423096,0.021982422,0.36125487,0.26640138,0.9083472,-0.058682863,-1.0531152,0.43168944,-1.0452343,7.0203123,-0.9208594,0.3538965,0.055148926,0.7903857,-0.35973266,0.87566406,0.32888627,0.025029296,0.18148926,0.2729541,0.028479004,-0.21817383,2.4992578,0.7935022,-0.056618653,-0.389563,0.032441407,-0.116176754,0.010109644,0.43604323,-0.08689209,-0.7295752,0.24127197,-0.55174315,-1.8287866,0.16351318,-0.10294922,0.42059082,-0.39744353,-0.36987916
15,-0.37838623,-0.5218015,-1.7099952,11.841562,0.8587894,-0.68856204,-0.24680191,0.43020752,-0.33922607,-0.8990137,1.5486426,1.8008789,-0.4833795,-0.5721826,-1.3603076,0.44461426,0.069923095,-0.62868285,0.28041747,0.25068268,1.2992285,-0.2505078,0.2834839,-0.021866456,-0.109520264,-0.3153955,0.6604273,0.7427734,0.40463164,0.42093506,9.558125,0.34506196,0.8229785,0.2515088,1.008103,0.172312,0.56500244,-0.23311767,0.5889111,-2.510957
16,-0.8134961,4.3578124,-0.7854492,2.6094532,0.31653243,3.2665625,0.043820802,-0.19420715,-0.056184083,0.4690045,-0.4439917,0.22432983,0.19724609,0.34089112,0.91376954,3.5393555,0.3722705,-2.3352442,-0.3850525,2.75542,0.23753907,-0.9531543,-1.2871326,0.48392823,-0.6123535,0.44780272,-0.012602539,-0.0024609375,-0.13873321,-0.3384131,-2.523545,-0.07727173,-1.4771435,-0.41714355,0.25323427,0.070930175,0.3293164,0.7055745,0.78668946,0.21617432
17,0.3516748,-0.874025,-0.11273681,1.2002734,-0.39562133,-0.5326085,0.081599124,0.21754883,2.1778932,-0.79058105,-0.27561525,-0.98014647,0.35966796,0.21115723,0.0076483153,-0.995918,-1.6669043,-0.8665478,1.0649048,-1.0160937,-0.86570066,0.4616913,-0.8064355,0.21150818,-0.05658325,0.32822266,-1.9399256,0.78700197,1.0114746,-0.15198852,15.483516,-0.8371576,-0.44926575,0.62703127,7.01,-1.0181421,-1.1077636,-1.535708,0.9113086,-0.16805542
18,5.944609,-0.6834717,0.637876,1.1882813,0.261792,-3.5926173,-1.1637646,-2.065957,0.24130951,0.887334,-0.5836328,0.34945312,0.01022461,0.1500464,0.62710935,-0.4016504,2.6144726,0.9207165,0.47075683,-0.59594727,-1.0888672,4.383516,1.3712549,1.6139941,-0.21717285,-0.164198,-0.20694153,-0.5045215,2.0089843,-0.38152343,0.28384277,0.08829834,-1.4750977,-1.1421143,0.13766022,-0.7488379,0.53620607,2.3873632,2.2741015,-1.7156055
19,3.07083,-0.36129883,0.4156787,1.5987207,0.3207617,0.7184961,0.67015016,-2.4534376,4.064961,2.5709858,0.9908789,-0.0040771486,-1.2911328,-2.898283,-0.94024414,2.6600928,-3.1224146,-1.1005591,-0.114804685,-0.74642336,0.58152926,1.0062305,0.06585938,-0.03975384,-1.068125,-1.3879297,0.35472167,-1.7413672,-1.2544043,9.068125,0.23058175,-6.211094,0.28123048,-1.3184228,-0.97467893,0.090318605,0.79111326,0.10941406,3.4898438,-0.15120117
20,3.8449218,-1.1857519,0.14759827,1.7877929,-0.6114551,0.046081543,-13.813437,0.24061188,-0.5272168,0.21813813,1.1184863,-0.40483734,0.22498779,0.4843164,0.020286866,-1.5315088,2.232461,1.7933838,1.0176368,0.6075684,-0.8404053,-4.0132813,0.52133787,0.29843262,4.4789844,0.045927733,0.17356506,2.5886524,-0.7117474,-0.505524,0.23545898,0.16761719,0.44486207,4.8320312,0.17880554,-0.22340088,-0.43148255,0.34780273,0.39336914,0.04424805
21,-0.11499268,0.4596924,-0.027745858,-1.7084765,5.356836,-0.15929322,-0.37075317,-0.1865625,0.28193116,0.4995862,-1.8590722,0.6462061,0.33077392,-1.3943384,-4.691245,0.35706237,0.024017334,-0.102573246,-0.22515197,-0.89681643,-0.16823913,0.935415,-0.550011,-0.30929443,0.6638525,0.5065076,0.6166016,-0.8151758,0.7473828,0.9192999,-0.08451935,0.34340942,-0.087841794,-0.45258605,8.478907,2.5196095,-0.8328931,-0.04855194,2.2539942,1.4470019
22,-0.9905957,0.6928247,2.109038,-2.070249,-0.3414154,-0.55938476,-0.1014502,0.7491406,0.058110353,2.0169165,0.20427491,-0.3948584,0.11918335,0.40052247,0.3947754,0.097138904,0.5978125,2.5683985,0.15728882,0.8138452,-0.10598633,-0.20254089,-0.086936034,0.106187746,-1.1712402,0.8048926,-0.3348398,-0.9577222,-0.08614517,-0.094631046,-1.5657227,-0.009880371,0.08349861,0.06542481,-0.45339355,1.1038891,3.4653516,-0.08171143,0.16778564,-1.1818824
23,0.1739917,-0.29665467,0.09552734,-0.4983008,-0.039978027,0.42191896,0.07460846,-0.114005126,-0.11466309,0.16903014,-0.09875488,1.5054053,0.5185626,-2.1666405,-0.069837645,1.9610938,0.09121704,0.5333032,-0.015866393,0.12125152,0.007372416,0.06795532,-0.04131836,0.0025152587,1.3001953,0.60513186,-0.7306445,1.452941,0.14389405,0.2919873,0.33836913,0.17837341,-4.284375,2.2895653,0.15135986,0.06953583,0.03554016,0.39867675,-0.16447906,0.6867387
24,0.48907715,-0.35691407,0.09753143,-0.16677734,0.03680725,-0.23113891,0.09867981,0.037929382,-0.24599609,1.1162207,0.01888565,-0.10695404,-0.39935914,0.13388795,-0.009948616,-0.24438567,3.5480468,-0.06251434,-0.32747132,0.62249756,0.51825196,0.013655395,-3.6461327,-10.891875,0.10061035,-0.049539793,0.5327344,0.031987306,0.18439819,0.08647217,-0.05503418,0.87595975,0.07867248,1.4186378,-0.108709715,-0.8344803,1.2161597,-0.19255859,0.009093017,-0.04508362
25,-0.01243042,0.3060718,-0.07286133,-0.36101136,0.518407,-0.26719025,-0.21848145,1.0771387,0.61035275,-1.355708,-0.36549774,-0.04693878,0.0044238283,-0.32481933,0.267937,0.4177539,0.08803833,0.057185058,0.15266968,0.5050058,-0.032192383,-0.6089771,0.12880372,0.017919922,-0.8054755,0.16870117,-0.13299438,0.21261902,-0.04097656,0.13145234,0.37086913,0.23937134,0.80449706,-1.8871582,0.037698973,-1.8384717,-0.08844849,-0.0016470718,1.6043652,0.19879884
26,-0.037878416,-1.7263281,-2.00375,-0.45378417,0.077094726,-0.06977905,0.05486572,0.053203125,0.22772461,0.0010764312,-1.4841712,0.05821533,0.920293,0.1356932,0.13208954,0.96171385,-0.20078796,0.2727539,-0.4055835,-0.027657472,0.061049804,-0.065646976,-0.03718216,1.6243457,0.06546875,0.0082649235,-0.012685547,-0.07686523,0.6187891,0.24210632,-0.23443481,0.04241821,-0.09341797,-0.14534424,0.017857665,-0.076498106,-0.019670105,0.25856385,0.09940369,0.8998865
27,-1.0490332,0.5532385,0.075907595,-0.37969726,-0.12150757,0.30138367,0.6864453,0.07911423,0.06608398,-1.006084,-0.0037005616,0.077576295,0.21972778,0.3213391,0.004196472,0.1846289,-0.021618042,0.08920166,0.020065919,0.15286133,0.019981971,0.009719239,-0.044501953,0.10707596,-0.00030181886,0.72471976,0.43361816,-0.40032226,-0.33408692,-0.0662207,0.041793212,-0.25568053,0.011195068,1.2593848,0.3999414,0.25020996,-0.04378952,1.3991797,0.1667218,-0.4746875
28,-0.08250733,0.43012697,-0.035476074,0.12964112,-0.0023500824,-0.38736817,0.4559375,-0.042124785,-0.19486085,-0.05366394,-0.06801483,-0.11122009,-0.26362792,0.010919724,0.2221228,-0.2926758,-0.3195372,-0.040042266,-0.0033206176,0.07275909,-0.46196043,0.03822754,-0.04473633,0.0514246,-0.35326782,-0.50513303,0.23769836,-0.06580002,-0.12972137,0.0060661314,-0.10477539,0.029929504,-0.021780625,1.0868164,0.8151514,0.36821532,-0.03198601,-0.022729492,0.12235352,-0.32791382
29,-0.0497966,0.30139846,0.021701049,-0.017511291,0.66037107,-0.007924652,-0.1881137,-0.005726471,-0.14011535,-0.5281299,0.15102051,-0.18893005,0.662807,0.092303164,-0.1384314,-0.023537599,0.056875,-0.11595947,-0.018149413,-0.22956496,0.13429688,0.0075341035,-0.0085028075,0.09736633,-0.2063672,0.029436646,-0.10145874,-0.0043273927,0.10258789,-0.0023138428,-0.03382385,0.48197755,0.008226471,0.45097655,0.2965869,0.02887268,0.08868103,-0.04619324,0.13540894,0.097871706
30,-0.010784912,0.021961976,0.09624512,-1.284375,-0.05085892,-0.64740175,-0.00834961,0.077973634,0.04626892,-0.058166504,0.5687256,0.06466644,-0.08042694,-0.061835937,0.07229675,-0.022161866,-0.027529297,0.1915979,0.269292,-0.66568357,0.06968223,1.7498388,-0.059492186,0.25593385,0.26729003,-0.36725464,-0.013199005,0.24395813,0.24695313,0.00018585206,0.11522217,0.013063813,0.070925295,0.0804541,-0.12074463,0.045334473,-0.007049103,0.12756683,0.024367066,-0.01475542
31,-0.13584717,-0.17039245,-0.042851564,0.12643921,0.0051770783,0.44154784,-0.05356491,0.5766547,-0.2125464,0.06171051,0.019019775,-0.03967529,-0.014025879,-0.27985412,-0.30661744,1.322301,-1.2686474,-0.1466632,-0.0043455507,-0.03338791,0.0034906005,0.018884888,0.3107715,-0.18753785,0.030054627,-0.602793,0.45106447,0.0046105958,-0.111026615,-0.024542771,-0.07339844,0.20250854,0.013444519,0.07991638,-0.055050764,0.15597473,-0.01305336,0.021840362,-0.0803421,-0.012521362
32,0.0048146057,-0.086860694,-0.03923218,0.3595044,-0.016445465,-0.1195398,0.028479004,-0.04418579,-0.004699707,0.044764403,0.027039647,0.37982056,-0.012818566,0.1422058,0.07649445,0.052781373,0.0028812026,0.0056944275,-0.029249268,-0.91639525,0.011975403,0.4201123,-0.005876465,-0.03912842,-0.017996978,-0.1075235,0.22158997,-0.018771973,0.31436217,0.117894895,0.4322229,0.2671518,0.85127443,0.0413385,0.0004397583,-0.057857055,0.18357666,-0.11568359,-0.31932923,0.2782715
33,0.09420166,-0.0023657226,-0.21073486,-0.25271484,-0.08241943,-0.4569336,-0.09921387,-0.08017304,-0.065760806,-0.00279541,-0.22218017,-0.050570067,0.30766723,0.10421692,-0.13689484,-0.051861268,-0.049134523,0.22445434,0.49223787,0.03119709,0.05746826,0.0057110596,0.11095123,0.0025788022,-0.20830506,0.026087647,-0.19247437,-0.8551898,-0.8982666,-0.018305665,0.10414307,0.032466125,0.02567688,-0.117041014,-0.029748535,-0.062111817,-0.20942383,0.06571899,-0.018570404,-0.48867798
34,-0.14093262,0.09564484,0.12909149,-0.34076905,0.1162915,0.032589722,-0.12673584,-0.66178894,0.010766297,0.06557571,-0.030129395,-0.13272949,-0.6629544,-0.067170106,-0.040679626,-0.6822314,-0.017872468,0.11348236,0.11134705,-0.010878296,0.2981839,-0.09384216,-0.041212767,0.00020040512,0.00791626,-0.024678955,-0.005792707,0.086220704,-0.015336914,0.028798828,-0.040524557,-0.17607361,0.14643677,1.3146509,-0.0411911,-0.3746328,0.025914611,-0.16851562,0.29113403,0.014259033
35,-0.3774292,-0.8093262,-0.5694727,-0.47340882,-0.15263917,-0.02177826,-0.07693726,-0.08825806,0.31332275,-0.18131469,0.10472656,-0.059604492,0.08610489,0.123603515,-0.5168506,-0.18799317,0.032762602,0.25609374,-0.14019531,-0.00070972444,-0.08294861,-0.0054208376,-0.19160523,-0.021533508,-0.18746094,0.019241486,-0.012850647,-0.061245576,-0.03333008,0.036921844,-0.017482948,-0.05925415,0.5607602,0.020478515,-0.02634142,-0.029973144,-0.05183899,-0.028103027,0.107868046,-0.09236694
36,-0.096605614,0.019528503,-0.014801941,-0.026918946,-0.0044393158,-0.124399416,-0.009581719,-0.18059647,-0.17773193,0.004640503,-0.015433044,0.019884033,0.105269164,-0.041312255,0.11342346,-0.0019381713,0.04405029,-0.30103302,-0.018859863,0.21718414,-0.24002929,-0.06573731,-0.16465943,0.00208313,0.03486908,0.0024809265,-0.09027832,-0.13868926,0.29367554,0.34212098,0.020210113,-0.006983948,-0.64619017,0.8639575,0.80654055,-0.0068841553,-0.116054684,-0.032105714,0.04221802,0.0020846175
37,0.10755615,0.0030998993,0.15674073,0.008633728,0.10914627,0.0019891358,-0.0036358642,0.001992035,-0.10621582,-0.32716066,-0.01985321,-0.0296344,0.014259186,-0.5909375,0.009973755,0.65047854,-0.21479005,0.13326538,-0.043154296,0.22169189,-0.028577575,-0.0056806947,0.036680833,-0.003446579,0.22672287,0.072391964,0.0007821655,-0.877384,-0.06246338,0.0023765564,-0.0048410036,-0.12856811,0.04648987,-0.117958985,-0.22183716,0.0015039062,-0.04042389,0.007185154,-0.047070656,0.018427735
38,0.6377539,-0.13163574,-0.046081543,-0.008659325,-0.0008368111,-0.11756958,0.07372437,-0.9251074,-0.30211914,-0.14455688,0.009518432,-0.014018554,-0.036938477,-0.038184967,-0.0055340575,0.027971191,0.08974121,0.014910889,-0.5449707,-0.5411015,0.029407615,0.0050636292,0.017028274,0.014028016,-0.3809546,-2.1576073,-0.14508697,-0.022270508,0.02394745,0.033357468,0.006363754,-0.00041267395,-0.005209961,-0.030012207,-0.03057129,0.011560974,-0.025793457,-0.004169922,0.042266235,-0.34458008
39,-0.1500084,-1.5349051,0.033963166,-0.38660827,-0.38079834,0.14253296,-1.3031201,0.058676757,-0.105250776,-0.65880555,0.12869935,-0.089279786,-1.3759179,0.26754975,-0.137146,-0.3432605,-0.018212281,-0.26576903,-0.013336487,-0.2930664,0.18791991,0.65080076,-0.95932984,0.005288925,-0.045588378,-1.2363672,-0.06432236,-0.077276,-0.4662842,0.52144533,-0.037960816,-0.055447463,-0.3615442,-0.14128906,-0.5409201,-0.055625,0.03646927,-0.31770995,0.49417296,-0.33657715
