layer,neuron,value
11,20,0.3349939
13,22,0.12098694
15,27,0.18925644
16,9,0.1482489
17,30,0.17651306
17,35,0.2360376
18,0,0.36064696
18,11,0.12040131
18,17,0.12460876
18,35,0.14635399
18,37,0.12526187
19,5,0.37399018
19,16,0.16771057
19,19,0.13024873
19,22,0.27813476
19,38,0.26329833
20,12,0.29254517
20,17,0.18937463
20,24,0.43613708
20,33,0.12551026
20,34,0.2484082
20,39,0.14712158
21,4,0.1623059
21,11,0.27752656
21,13,0.28349853
21,18,0.12894043
21,29,0.40401185
21,32,0.4546289
21,39,0.6140173
22,12,0.15388183
22,16,0.33904594
22,17,0.15154175
22,21,0.23394287
22,22,0.15032959
22,31,0.29883116
23,21,0.29504395
23,25,0.14823547
24,4,0.18418701
24,18,0.1219928
24,26,0.18247071
25,5,0.43103638
25,13,1.2882965
25,26,0.19441536
27,19,0.158609
27,37,0.13213196
28,20,0.43852326
28,21,0.1625655
29,35,0.18906677
30,3,0.16915546
30,10,0.2933673
33,18,0.13140438
33,21,0.33848146
33,26,0.124061584
33,29,0.12938629
35,5,0.15202515
35,11,0.19971192
35,17,0.23044556
35,18,0.13221039
35,20,0.30697417
35,36,0.13149846
36,1,0.25331175
37,6,0.2084497
37,11,0.21419953
37,13,0.24908386
37,15,0.16910888
38,1,0.16872802
38,2,0.17270325
38,6,1.3896118
38,12,0.53007936
38,13,0.20357284
38,22,0.38339904
38,28,0.22412476
38,32,1.0464044
38,36,0.4491028
38,39,0.26951963
39,3,0.24673797
39,5,0.16712722
39,8,0.21043305
39,15,0.18647033
39,21,0.1646167
39,26,0.16560677
39,28,0.13421577
39,33,0.12993725
39,35,0.26513246
39,36,0.7454065
39,37,0.17976135
39,38,0.29017335
40,1,1.3231225
40,5,0.32036987
40,15,2.1076782
40,17,0.9390613
40,20,0.26507127
40,23,0.49750793
40,24,0.2265456
41,2,0.210495
41,7,0.41407594
41,8,0.6873659
41,9,0.18680786
41,11,0.24702476
41,13,0.5347725
41,19,0.1642054
41,21,0.3063402
41,30,2.2966383
41,31,0.12445801
41,36,0.12633118
41,38,0.18729156
42,0,2.9908648
42,2,0.19505234
42,6,0.15026672
42,14,0.13879639
42,19,0.21257569
42,21,0.15496948
42,24,0.3724581
42,28,0.41578552
42,31,0.24574952
42,34,0.12124939
42,36,0.46496522
43,1,0.4232225
43,3,0.36517274
43,5,1.370564
43,8,1.3433264
43,11,0.26224732
43,12,0.1996926
43,16,0.28195617
43,18,0.31049195
43,20,0.31935394
43,22,0.30216125
43,25,0.13778931
43,29,0.79039675
43,30,0.27308595
43,32,0.17934845
43,35,0.13084412
43,36,0.21325439
44,0,0.59029055
44,3,0.845932
44,5,0.23306702
44,6,0.25195494
44,9,0.18761764
44,10,0.158201
44,12,0.37778443
44,17,0.5734161
44,18,0.154469
44,19,0.28773195
44,23,0.44542724
44,24,1.3111756
44,27,0.21090911
44,31,0.31062743
44,33,0.7037836
45,1,0.12984437
45,3,0.18332352
45,6,0.5539502
45,10,1.0614538
45,11,1.4164038
45,13,0.97857666
45,17,0.19983764
45,18,0.1835469
45,21,0.38990638
45,29,0.9400586
45,31,0.23673004
45,32,0.5712097
45,34,0.1431128
45,35,0.18172058
46,2,0.47853944
46,3,1.757294
46,7,0.47175574
46,9,0.16789612
46,12,0.27153993
46,16,0.22266418
46,21,0.58198667
46,25,0.26367676
46,26,0.17238526
46,35,0.6211728
46,36,0.7936682
47,5,0.2907611
47,8,0.121414796
47,15,1.360662
47,17,0.34779054
47,24,0.17558227
47,33,0.24331878
47,37,0.12344452
48,8,0.12343491
48,9,0.15071502
48,12,0.1273877
48,20,0.3003424
48,25,0.14428528
48,35,0.12705123
49,4,0.2771312
49,14,0.3218335
49,15,0.11992188
49,32,0.19182068
50,2,0.88603365
50,5,0.37333098
50,15,0.18049736
50,23,0.53191406
50,24,0.19431823
51,12,0.1865207
51,25,0.13233581
51,37,0.63473326
52,14,0.1873816
52,16,0.15489045
52,20,0.17799194
52,23,0.18846641
52,30,0.1346249
52,34,0.17591919
54,0,0.24577865
54,5,0.2576026
54,10,0.12960906
54,20,0.68355346
55,5,0.3435852
55,6,0.6494351
55,7,0.14748566
55,15,0.33444825
55,16,0.18089356
56,26,0.20719673
56,38,0.121655576
56,39,0.16300598
57,11,0.16460808
57,28,0.3353833
58,24,0.21269058
60,19,0.27537835
61,9,0.20609085
61,15,0.24379532
61,34,0.15064149
62,0,0.371839
62,36,0.14699134
62,39,0.18050262
63,7,0.5348145
63,17,0.14020675
63,25,0.18276684
63,29,0.17758729
