layer,neuron,value
0,0,0.0388204
0,1,0.00037727357
0,2,0.0024695396
0,3,0.0055844593
0,4,0.005898652
0,6,0.0015295029
0,9,0.017740173
0,10,0.0039530206
0,11,0.019987183
0,13,0.0036296868
0,14,0.0006324673
0,17,0.0003339857
0,19,0.0013719334
0,20,0.0015214538
0,21,0.042234194
0,22,0.004686203
0,24,0.0040799906
0,25,0.008690424
0,26,0.007117691
0,28,0.0031746672
0,29,0.02699211
0,30,0.004835186
0,32,0.004406295
0,33,0.08250382
0,34,0.002485633
0,35,0.00034618378
0,37,0.0152512835
0,38,0.0028678512
0,39,0.012055278
1,1,0.07834163
1,4,0.026325379
1,10,0.0067576217
1,11,0.039550934
1,13,0.0068025207
1,15,0.0067916107
1,17,0.0063648582
1,19,0.040014457
1,22,0.005790739
1,23,0.002818756
1,25,0.023018464
1,28,0.0014902496
1,30,0.0028209304
1,31,0.0030839967
1,32,0.0018636561
1,33,0.002236843
1,36,0.06880264
1,38,0.018180713
2,1,0.004655857
2,3,0.022338677
2,4,0.025417252
2,5,0.048036918
2,10,0.0082337
2,12,0.040164948
2,14,0.019324645
2,16,0.0037192153
2,23,0.0010776615
2,25,0.012310753
2,26,0.0011823273
2,27,0.00781477
2,28,0.010769653
2,29,0.021917496
2,30,0.014972725
2,32,0.005735576
2,33,0.024806423
2,34,0.035054322
2,35,0.017814483
2,37,0.0020843507
3,6,0.0010151672
3,8,0.0125488285
3,9,0.011185302
3,10,0.0012486267
3,13,0.0038368083
3,14,0.008690796
3,15,0.00041885377
3,16,0.013300705
3,22,0.04311737
3,23,0.0013864803
3,28,0.022856522
3,30,0.037148133
3,31,0.005412953
3,35,0.011176338
3,39,0.0027867127
4,1,0.0063492395
4,2,0.006512966
4,3,0.04693527
4,6,0.029171066
4,7,0.049707144
4,9,0.0022230863
4,10,0.004660034
4,13,0.008643989
4,16,0.0051589333
4,17,0.0010536575
4,18,0.004643555
4,19,0.017463265
4,23,0.0025198006
4,25,0.0013285446
4,26,0.019847851
4,29,0.0003863561
4,33,0.01886715
4,35,0.0009633636
4,38,0.00624794
5,1,0.002308054
5,5,0.00032444
5,7,0.0010783887
5,9,0.011120148
5,13,0.0005484676
5,14,0.0014841079
5,15,0.010552978
