model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.07,0.04,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.09,0.62,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.1,0.64,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,0.5,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,single,long,wo_rf,1.0,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.01,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.03,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.05,0.22,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.07,0.08,6.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.09,0.04,4.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.1,0.08,6.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.01,0.02,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.03,0.1,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.05,0.24,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.07,0.16,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.09,0.18,6.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.1,0.08,10.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.5,0.14,4.0
OLMo-2-1124-13B-DPO,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,1.0,0.2,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.01,0.18,4.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.03,0.04,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.05,0.18,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.07,0.02,1.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.09,0.1,2.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.1,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,0.5,0.0,10.0
vicuna-13b-v1.5,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,w_rf,1.0,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.01,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.03,0.0,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.05,0.48,10.0
Qwen1.5-14B-Chat,from_sycophancy-long_to_non-sycophantic,atp,steer,long,single,wo_rf,0.07,0.96,10.0
