model,source,steer,topk,N,w,wo,task
OLMo-2-1124-13B-DPO,verse-single,verse-single,0.05,2,0.08,0.08,verse
OLMo-2-1124-13B-DPO,verse-single,verse-single,0.07,1,0.08,0.08,verse
OLMo-2-1124-13B-DPO,verse-single,verse-single,0.09,2,0.08,0.08,verse
OLMo-2-1124-13B-DPO,verse-single,verse-single,0.1,4,0.1,0.1,verse
OLMo-2-1124-13B-DPO,verse-single,verse-single,0.5,5,0.24,0.3,verse
OLMo-2-1124-13B-DPO,verse-single,verse-single,1.0,2,0.16,0.22,verse
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,0.01,10,0.24,0.24,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,0.03,10,0.8,0.8,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,0.05,8,0.88,0.96,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,0.07,4,0.82,0.86,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,0.09,2,0.52,0.54,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,0.1,2,0.56,0.56,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,0.5,5,0.0,1.0,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-long,1.0,5,0.0,0.98,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,0.01,10,0.12,0.12,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,0.03,5,0.12,0.12,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,0.05,10,0.26,0.32,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,0.07,4,0.22,0.24,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,0.09,2,0.18,0.18,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,0.1,2,0.3,0.3,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,0.5,2,0.0,0.1,paragraph
Qwen1.5-14B-Chat,paragraph-long,paragraph-single,1.0,4,0.0,0.7,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,0.01,10,0.3,0.3,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,0.03,10,0.5,0.5,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,0.05,10,0.94,0.96,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,0.07,10,0.94,1.0,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,0.09,8,0.88,0.92,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,0.1,8,0.86,0.96,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,0.5,1,0.18,1.0,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-long,1.0,6,0.0,0.98,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,0.01,6,0.14,0.14,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,0.03,10,0.38,0.4,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,0.05,10,0.68,0.72,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,0.07,10,0.92,0.94,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,0.09,10,0.92,1.0,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,0.1,10,0.88,1.0,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,0.5,1,0.1,0.88,paragraph
Qwen1.5-14B-Chat,paragraph-single,paragraph-single,1.0,1,0.0,0.06,paragraph
Qwen1.5-14B-Chat,verse-long,verse-long,0.01,10,0.08,0.08,verse
Qwen1.5-14B-Chat,verse-long,verse-long,0.03,6,0.7,0.86,verse
Qwen1.5-14B-Chat,verse-long,verse-long,0.05,2,0.08,0.08,verse
Qwen1.5-14B-Chat,verse-long,verse-long,0.07,2,0.32,0.32,verse
Qwen1.5-14B-Chat,verse-long,verse-long,0.09,2,0.68,0.94,verse
Qwen1.5-14B-Chat,verse-long,verse-long,0.1,1,0.06,0.06,verse
Qwen1.5-14B-Chat,verse-long,verse-long,0.5,8,0.0,1.0,verse
Qwen1.5-14B-Chat,verse-long,verse-long,1.0,4,0.0,1.0,verse
Qwen1.5-14B-Chat,verse-long,verse-single,0.01,10,0.08,0.08,verse
Qwen1.5-14B-Chat,verse-long,verse-single,0.03,8,0.76,0.82,verse
Qwen1.5-14B-Chat,verse-long,verse-single,0.05,1,0.04,0.04,verse
Qwen1.5-14B-Chat,verse-long,verse-single,0.07,2,0.06,0.06,verse
Qwen1.5-14B-Chat,verse-long,verse-single,0.09,2,0.1,0.1,verse
Qwen1.5-14B-Chat,verse-long,verse-single,0.1,2,0.04,0.88,verse
Qwen1.5-14B-Chat,verse-long,verse-single,0.5,8,0.0,0.94,verse
Qwen1.5-14B-Chat,verse-long,verse-single,1.0,6,0.0,0.96,verse
Qwen1.5-14B-Chat,verse-single,verse-long,0.01,1,0.06,0.06,verse
Qwen1.5-14B-Chat,verse-single,verse-long,0.03,1,0.06,0.06,verse
Qwen1.5-14B-Chat,verse-single,verse-long,0.05,10,0.38,0.38,verse
Qwen1.5-14B-Chat,verse-single,verse-long,0.07,10,0.82,0.9,verse
Qwen1.5-14B-Chat,verse-single,verse-long,0.09,8,0.6,0.62,verse
Qwen1.5-14B-Chat,verse-single,verse-long,0.1,8,0.72,0.72,verse
Qwen1.5-14B-Chat,verse-single,verse-long,0.5,2,0.0,0.14,verse
Qwen1.5-14B-Chat,verse-single,verse-long,1.0,2,0.0,0.58,verse
Qwen1.5-14B-Chat,verse-single,verse-single,0.01,1,0.06,0.06,verse
Qwen1.5-14B-Chat,verse-single,verse-single,0.03,10,0.3,0.62,verse
Qwen1.5-14B-Chat,verse-single,verse-single,0.05,8,0.2,0.48,verse
Qwen1.5-14B-Chat,verse-single,verse-single,0.07,6,0.06,0.06,verse
Qwen1.5-14B-Chat,verse-single,verse-single,0.09,5,0.14,0.18,verse
Qwen1.5-14B-Chat,verse-single,verse-single,0.1,5,0.24,0.3,verse
Qwen1.5-14B-Chat,verse-single,verse-single,0.5,1,0.08,0.24,verse
Qwen1.5-14B-Chat,verse-single,verse-single,1.0,6,0.0,0.2,verse
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,0.01,10,0.18,0.18,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,0.03,10,0.38,0.38,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,0.05,10,0.54,0.56,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,0.07,10,0.78,0.8,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,0.09,10,0.96,1.0,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,0.1,10,0.94,1.0,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,0.5,1,0.0,0.34,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-long,1.0,2,0.0,0.3,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,0.01,6,0.1,0.1,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,0.03,8,0.24,0.26,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,0.05,10,0.32,0.36,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,0.07,8,0.3,0.34,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,0.09,10,0.52,0.54,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,0.1,10,0.56,0.58,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,0.5,1,0.0,0.32,paragraph
Qwen1.5-32B-Chat,paragraph-long,paragraph-single,1.0,1,0.0,0.5,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,0.01,10,0.24,0.26,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,0.03,6,0.28,0.3,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,0.05,10,0.28,0.32,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,0.07,8,0.3,0.36,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,0.09,10,0.42,0.46,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,0.1,10,0.42,0.5,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,0.5,1,0.0,0.26,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-long,1.0,2,0.0,0.3,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,0.01,10,0.14,0.16,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,0.03,8,0.18,0.2,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,0.05,4,0.2,0.2,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,0.07,10,0.3,0.32,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,0.09,10,0.22,0.22,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,0.1,8,0.26,0.28,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,0.5,1,0.0,0.12,paragraph
Qwen1.5-32B-Chat,paragraph-single,paragraph-single,1.0,1,0.0,0.5,paragraph
Qwen1.5-32B-Chat,verse-long,verse-long,0.01,1,0.06,0.06,verse
Qwen1.5-32B-Chat,verse-long,verse-long,0.03,10,0.64,0.74,verse
Qwen1.5-32B-Chat,verse-long,verse-long,0.05,8,0.88,0.98,verse
Qwen1.5-32B-Chat,verse-long,verse-long,0.07,6,0.9,0.98,verse
Qwen1.5-32B-Chat,verse-long,verse-long,0.09,5,0.98,1.0,verse
Qwen1.5-32B-Chat,verse-long,verse-long,0.1,5,0.88,1.0,verse
Qwen1.5-32B-Chat,verse-long,verse-long,0.5,4,0.02,0.04,verse
Qwen1.5-32B-Chat,verse-long,verse-long,1.0,1,0.0,0.0,verse
Qwen1.5-32B-Chat,verse-long,verse-single,0.01,10,0.06,0.06,verse
Qwen1.5-32B-Chat,verse-long,verse-single,0.03,10,0.08,0.1,verse
Qwen1.5-32B-Chat,verse-long,verse-single,0.05,10,0.82,0.92,verse
Qwen1.5-32B-Chat,verse-long,verse-single,0.07,8,0.72,0.94,verse
Qwen1.5-32B-Chat,verse-long,verse-single,0.09,5,0.78,0.92,verse
Qwen1.5-32B-Chat,verse-long,verse-single,0.1,5,0.74,1.0,verse
Qwen1.5-32B-Chat,verse-long,verse-single,0.5,4,0.0,0.02,verse
Qwen1.5-32B-Chat,verse-long,verse-single,1.0,2,0.04,0.06,verse
Qwen1.5-32B-Chat,verse-single,verse-long,0.01,2,0.08,0.08,verse
Qwen1.5-32B-Chat,verse-single,verse-long,0.03,10,0.08,0.08,verse
Qwen1.5-32B-Chat,verse-single,verse-long,0.05,10,0.48,0.5,verse
Qwen1.5-32B-Chat,verse-single,verse-long,0.07,10,0.84,0.9,verse
Qwen1.5-32B-Chat,verse-single,verse-long,0.09,8,0.88,0.94,verse
Qwen1.5-32B-Chat,verse-single,verse-long,0.1,8,0.78,0.82,verse
Qwen1.5-32B-Chat,verse-single,verse-long,0.5,2,0.0,0.02,verse
Qwen1.5-32B-Chat,verse-single,verse-long,1.0,1,0.0,0.0,verse
Qwen1.5-32B-Chat,verse-single,verse-single,0.01,5,0.08,0.08,verse
Qwen1.5-32B-Chat,verse-single,verse-single,0.03,8,0.06,0.06,verse
Qwen1.5-32B-Chat,verse-single,verse-single,0.05,5,0.06,0.06,verse
