model,localization,steer_variant,steering_factor,topk,n_items,avg_jaccard
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,1,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-long_to_prose,verse-long_steer,1,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.01,50,0.1357477550397223
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.03,50,0.14536105612120742
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.05,50,0.15861389963630348
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.07,50,0.18141290264708843
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.09,50,0.18396761664152358
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.1,50,0.18595492299344357
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,10,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.01,50,0.13414907015464408
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.03,50,0.14091499206904337
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.05,50,0.1464680260988518
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.07,50,0.1806253681230004
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.09,50,0.18793411988045441
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.1,50,0.17945020766606276
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,8,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.01,50,0.1308531575256413
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.03,50,0.13915841534092002
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.05,50,0.14271174117775126
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.07,50,0.15602207234982646
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.09,50,0.18268407071201992
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.1,50,0.1780230659747888
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,6,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.01,50,0.13306036181746855
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.03,50,0.13910123008073805
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.05,50,0.1410737577113147
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.07,50,0.15280870650800615
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.09,50,0.1690379374499591
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.1,50,0.16386476823521232
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,0.5,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,5,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.01,50,0.13074969584046764
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.03,50,0.1363998448386928
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.05,50,0.13787448492149024
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.07,50,0.14526560997170931
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.09,50,0.15774633941081956
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.1,50,0.15777145742149093
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,0.5,50,0.0002861201298701299
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,4,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.01,50,0.13099937385041716
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.03,50,0.1347655972628931
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.05,50,0.139900725572295
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.07,50,0.13801142241469877
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.09,50,0.14222268989936396
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.1,50,0.14591457990835333
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,0.5,50,0.026771107627433996
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,2,1.0,50,0.0
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.01,50,0.13126095454876532
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.03,50,0.13234008702339511
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.05,50,0.13145133376087462
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.07,50,0.13601697227146017
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.09,50,0.1354795681316337
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.1,50,0.13846502926373083
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,0.5,50,0.0005357142857142856
Qwen1.5-32B-Chat,from_verse-single_to_prose,verse-single_steer,1,1.0,50,0.0
