model_id,method,ablation,task,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,6,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,0.01,0.1764
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,0.03,0.1128
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,0.05,0.3528
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,5,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,0.01,0.18
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,0.03,0.16
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,0.05,0.3332
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,4,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,2,0.01,0.22
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,2,0.03,0.14
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,2,0.05,0.1152
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,2,0.07,0.2112
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,2,0.09,0.38
Qwen1.5-14B-Chat,atp,steer,from_sycophancy-single_to_non-sycophantic,2,0.1,0.38
