layer,neuron,value
0,6,2.030381
0,8,0.5589526
0,10,0.43586305
1,0,0.26187897
1,3,0.08854339
1,5,0.3238965
1,6,0.6525778
1,8,0.22963805
2,0,0.18013519
2,2,0.058290407
2,3,0.501918
2,7,0.28050292
2,8,0.13117431
2,9,0.13731658
2,10,0.4162805
2,11,0.1749823
3,1,0.38855866
3,10,0.2687848
4,1,1.1336377
4,2,0.6049835
4,3,0.8982996
4,5,1.008681
4,6,0.057122804
4,8,0.24283081
4,10,0.19786072
4,11,0.26847017
5,2,0.36377075
5,4,0.251521
5,5,0.28617096
5,6,0.2627002
5,8,0.07910889
5,9,0.59017944
5,11,0.4392189
6,1,0.6264319
6,5,0.071008
6,6,0.3404773
6,7,0.7672266
6,10,0.95489746
6,11,0.30213106
7,0,1.1342212
7,1,0.10076172
7,3,0.07006989
7,6,0.15336975
7,10,0.50932086
7,11,0.28861818
8,2,0.7709509
8,3,0.5936642
8,5,0.16518097
8,10,2.0932763
9,0,0.21355866
9,1,0.4989087
9,2,0.47934923
9,4,0.2177617
9,8,0.56803733
9,10,0.4780481
10,0,0.6161293
10,3,0.21667114
10,4,1.7349182
10,5,0.43460205
10,6,1.5872339
10,8,2.895835
10,9,0.5986673
10,10,1.3636048
10,11,0.119993895
11,0,0.79756105
11,3,1.0659759
11,4,0.33467162
11,5,0.3775
11,7,0.4733383
11,9,0.60702026
12,0,2.364386
12,5,1.136316
13,2,0.043131407
13,8,4.872655
13,11,0.625824
14,1,0.24933715
14,2,0.79822296
14,3,3.7764673
14,8,6.546158
15,0,0.07785828
15,2,1.8617932
15,4,1.457295
15,8,2.0755322
15,10,1.3626648
15,11,0.7767218
16,0,0.090631105
16,2,2.648357
16,4,0.26614746
16,5,1.2476147
16,7,0.71795166
16,8,0.38112426
16,9,0.7290991
16,10,0.40057153
16,11,1.9301367
17,4,6.1359572
17,6,0.19300537
17,7,0.42574683
17,8,4.053203
17,9,2.3356788
17,10,0.17452636
18,4,4.6208787
18,5,0.9145093
18,8,0.7356946
18,9,0.9867895
18,10,0.19282265
18,11,0.12384949
19,0,7.38457
19,2,6.229385
19,3,0.47764283
19,4,0.032541502
19,6,0.3431978
19,7,0.6794565
19,8,0.15565613
19,10,0.9604675
19,11,0.1396579
20,0,0.603772
20,2,0.5688605
20,3,0.4980719
20,4,0.46959442
20,6,0.5122888
20,7,0.13946022
20,9,0.08272095
20,11,0.47354493
21,1,0.041442566
21,2,0.3496077
21,3,0.15814637
21,7,0.23739594
21,9,0.10963013
22,0,0.18215331
22,3,0.37934205
22,6,0.052754976
22,11,0.24249329
23,0,0.17777558
23,2,2.6406007
23,3,0.24237305
23,5,0.27425048
23,6,0.38107637
23,7,0.5836274
23,9,0.091732174
23,11,0.046647415
24,0,0.33667305
24,2,1.9761719
24,3,0.15896271
24,7,0.50287473
24,8,0.8631372
24,9,0.05257721
24,10,0.10421082
24,11,0.044646673
25,1,0.078351825
25,5,0.50962067
25,6,0.4009976
25,7,0.6062586
25,8,0.15765625
25,10,0.13911954
26,2,0.036911163
26,6,0.26409546
26,7,0.03307922
26,9,0.103174746
26,10,0.03813309
27,0,0.27412596
27,2,0.06572754
27,4,0.03757904
27,5,0.31693482
27,8,0.08598007
27,10,0.31296632
27,11,0.07365173
28,0,0.46680054
28,2,0.21475159
28,5,0.10605957
28,7,0.24853271
29,2,0.18791077
29,7,0.1994928
29,9,0.19228454
30,1,0.17957886
30,2,0.073280334
30,3,0.6630871
30,9,0.060534056
30,10,0.24688965
30,11,0.033357315
31,0,0.19544616
31,3,0.28024903
31,4,0.3016199
31,5,0.042593993
31,6,0.45376343
31,7,0.07963135
31,11,0.17974487
32,1,0.04364136
32,2,0.26792145
32,3,0.47137818
32,4,0.13970214
32,7,0.038560793
32,9,0.1294922
32,11,0.036027834
33,0,0.53716797
33,2,0.20572266
33,5,0.17222045
33,6,0.11619919
33,7,0.031375885
33,9,0.035286255
33,10,0.24656464
34,2,0.047352295
34,3,0.34114867
34,4,0.56221986
34,5,0.123660125
34,7,0.5601337
34,8,0.18219757
34,9,0.066340335
34,10,0.07331299
35,0,0.08432678
35,1,0.04417511
35,2,0.14067505
35,3,0.36624634
35,5,0.17309631
35,10,0.036918946
35,11,0.033991087
36,1,0.045404814
36,5,0.08462143
36,6,0.11001236
36,7,0.067743376
36,9,0.03482376
36,11,0.058225706
37,0,0.107160494
37,1,0.13737053
37,3,0.03700073
37,5,0.28520662
37,6,0.98884857
37,7,0.13635743
37,10,0.081698455
37,11,0.1674768
38,1,0.37668464
38,3,0.04238556
38,8,0.3160211
38,10,0.15652466
39,1,0.11066284
39,2,2.1133666
39,3,0.06178238
39,4,0.23356262
39,6,0.7216846
39,7,0.6972754
39,11,0.25164062
