layer,neuron,value
0,1,0.097218856
0,3,0.3051703
0,4,0.058629457
0,5,0.0019095802
0,7,0.007485266
0,9,0.012758732
0,10,3.0910304
0,11,0.08215805
0,12,0.04529991
0,13,0.014159069
0,17,0.0075537874
0,18,0.04715332
0,21,0.044066314
0,22,0.06284378
0,26,0.017069615
0,28,0.10536583
0,31,1.2473474
0,32,0.043518078
0,33,0.0042513274
0,35,0.0013738108
0,36,-0.003701558
0,37,-0.0032015992
1,0,0.2697261
1,1,0.11561951
1,2,0.0055838013
1,4,0.12083992
1,8,0.196133
1,10,0.029264832
1,11,0.05393921
1,15,0.013170166
1,17,0.096583255
1,22,0.5324292
1,29,0.083486326
1,32,0.001965332
1,34,0.0011782073
1,35,0.06907837
1,36,0.1190052
1,39,0.98966306
2,1,0.046751022
2,2,0.1690007
2,3,0.3024945
2,5,0.24941787
2,8,0.038194276
2,10,0.26375
2,13,0.05802223
2,14,0.102364235
2,17,0.075866625
2,19,0.55488646
2,24,0.016697083
2,32,0.025795594
2,33,0.21796402
2,35,0.079659425
2,36,0.06055542
2,37,0.018630829
2,39,1.4086243
3,2,0.42502442
3,7,0.7869861
3,8,0.11556114
3,10,-0.0049386597
3,12,0.10277741
3,13,0.016273212
3,17,0.18593507
3,18,0.058922272
3,19,0.5558728
3,29,0.41187546
3,31,0.13930482
3,32,0.006226654
3,39,0.04140869
4,4,0.014807434
4,6,0.029144287
4,8,0.2529663
4,9,0.023334656
4,11,0.10331406
4,12,0.010686645
4,17,0.0058058165
4,18,0.16676834
4,19,0.23174332
4,21,0.9879663
4,22,0.07315121
4,24,0.0909104
4,25,0.4836145
4,27,0.005487585
4,30,0.08976715
4,31,0.04787239
4,32,0.44962746
4,34,0.19772094
4,37,0.10091393
5,0,0.0002770996
5,1,0.011279068
5,4,0.07541481
5,6,0.20639771
5,7,0.044391707
5,8,0.05777466
5,10,0.6554712
5,11,0.26504913
5,14,0.124469
5,15,-0.0011901855
5,16,0.0117984
5,17,0.22952881
5,18,0.22509643
5,22,0.02405243
5,24,0.0097647095
5,27,0.08899262
5,28,0.029232178
5,30,0.73798704
5,31,0.35211822
5,32,0.44476104
5,33,0.09393356
5,34,0.29284668
5,36,0.09145691
5,39,0.034746017
6,1,0.26587692
6,5,0.4577088
6,6,1.7318115
6,7,0.61626923
6,8,0.65526366
6,9,0.023890382
6,11,0.40837646
6,15,0.24786468
6,18,0.12911072
6,19,0.3130191
6,23,0.29990906
6,27,0.015836982
6,28,0.02296257
6,31,0.1644635
6,32,0.006621742
6,33,0.45410645
6,34,0.007631531
6,35,0.03646801
6,36,0.07052551
6,39,0.44853088
7,1,0.037558746
7,2,0.7185532
7,3,0.29724962
7,4,0.6615009
7,7,0.07539612
7,8,0.019323273
7,9,2.0536304
7,11,0.08869263
7,14,0.016316071
7,15,2.1826026
7,19,0.2321051
7,20,0.3796582
7,21,0.042415544
7,22,0.37356904
7,25,0.09436264
7,26,0.5158551
7,30,0.7337537
7,31,-0.00034248352
7,32,0.19506836
7,36,0.28132933
7,37,0.18315674
7,38,0.061359864
8,1,2.6361425
8,6,0.8230371
8,7,0.48135194
8,8,0.1840567
8,12,0.3864929
8,16,0.24622315
8,17,0.22970153
8,20,1.4361206
8,21,0.29826903
8,22,1.2624731
8,23,0.3540851
8,29,0.05737427
8,30,0.14797027
8,32,0.25385362
8,34,0.8700488
8,35,0.35288087
8,37,0.1931784
8,38,0.06303726
8,39,0.67674685
9,0,0.11204315
9,1,0.05397827
9,2,0.3009961
9,5,0.6522127
9,6,0.06391601
9,7,0.34257844
9,8,0.7277573
9,12,0.24551208
9,13,0.90411866
9,15,0.99707276
9,18,0.34449676
9,21,2.0609326
9,22,0.025072327
9,23,2.1028564
9,24,1.3634485
9,25,1.2561669
9,28,0.010020218
9,31,0.43416488
9,33,0.93846285
